tick,tick_dt,input_force,output_ang_vel,output_speed,output_angle,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.015825279988348484,0.0,1.2704183760016873e-05,-9.878285556584477e-08,0.0,0.0
3.0,0.008828160935081542,0.0,2.645322161384178e-08,4.481202503639061e-09,1.1215457878227829e-07,-8.72070946562193e-10
4.0,0.009886468993499875,0.0,-6.4352982130388155e-06,8.468579511764544e-09,1.1241610773754172e-07,-8.277676769563714e-10
5.0,0.009941949974745512,0.0,1.3287012779999194e-06,-4.989716207883827e-08,4.843669483094063e-08,-7.435734830932535e-10
6.0,0.010774426045827568,0.0,3.353208171586892e-08,-3.6604033829364775e-08,6.275268848774734e-08,-1.2811867658083682e-09
7.0,0.009744378039613366,0.0,6.087607609693556e-07,-3.814692737766208e-08,6.307943776844198e-08,-1.6378703092164951e-09
8.0,0.00990783900488168,0.0,-5.707153815777953e-07,-3.739330627314998e-08,6.91109413806156e-08,-2.0158239242052843e-09
9.0,0.009717043954879045,0.0,-1.5206028394405521e-06,-6.897180600183854e-07,6.35652749320986e-08,-2.379176324879737e-09
10.0,0.01059479801915586,0.0,7.7202568265272e-07,2.091738333734496e-07,4.7454794980871066e-08,-9.686599860938549e-09
11.0,0.009436046006157994,0.0,6.884328311353398e-07,1.057940706461122e-07,5.473966484031766e-08,-7.712825945942252e-09
12.0,0.01087923999875784,0.0,-5.378637685939414e-07,1.0640434395119273e-07,6.222929083326336e-08,-6.5618668609376554e-09
13.0,0.009013530914671719,-2.096666411214311e-05,5.344386913823293e-07,-2.780681189095056e-07,5.738123912716003e-08,-5.602788017278217e-09
14.0,0.010696260025724769,-2.096666411214311e-05,-2.4664520048483827e-06,-7.26886188340678e-07,6.309773433799349e-08,-8.577076921998444e-09
15.0,0.009596489020623267,-2.096666411214311e-05,-4.958889260565645e-07,-1.143189064417061e-06,3.942845475357174e-08,-1.5552632247652458e-08
16.0,0.009345842991024256,-3.2628968024665696e-05,-2.6321237179582858e-06,-1.2238536323419673e-06,3.4793954709659455e-08,-2.6236697752750224e-08
17.0,0.010681148967705667,-3.2628968024665696e-05,-1.9261450646327722e-06,-9.503965020202779e-07,6.679849176715709e-09,-3.930886071446246e-08
18.0,0.009701636037789285,-3.2628968024665696e-05,-1.7830837093692886e-06,-1.5161477940405908e-06,-1.2006909196335567e-08,-4.852926166865126e-08
19.0,0.010666760033927858,-3.2628968024665696e-05,-3.1324265569070893e-06,-1.4513479014708641e-06,-3.102663524458373e-08,-6.470164636365131e-08
20.0,0.009770117932930589,-3.2628968024665696e-05,-2.7879718254145595e-06,-1.53143492090472e-06,-6.16308121218097e-08,-7.888148652273298e-08
21.0,0.009414360974915326,-3.2628968024665696e-05,-2.5907736695182083e-06,-1.2251962883869602e-06,-8.787778527415598e-08,-9.329896767772091e-08
22.0,0.011898454977199435,2.8050204605580726e-05,-8.566700893906196e-07,-3.1776140051394725e-07,-1.1870398913703216e-07,-1.0787691055332501e-07
23.0,0.008780753938481212,2.8050204605580726e-05,1.6663561699793691e-06,1.5383604295426366e-07,-1.262261983984279e-07,-1.1066709522238516e-07
24.0,0.009626026032492518,2.8050204605580726e-05,-9.015218617421743e-07,6.812384857354186e-07,-1.1018581052680197e-07,-1.0918626546817178e-07
25.0,0.009723248076625168,2.8050204605580726e-05,2.5763880025491144e-06,1.0913018242974397e-06,-1.189515312350221e-07,-1.0256241467202183e-07
26.0,0.010571612976491451,-2.6882508487357138e-05,5.977587365253285e-07,2.649850847144548e-07,-9.171495439479699e-08,-9.102559414501022e-08
27.0,0.00968411797657609,-2.6882508487357138e-05,2.41251740092266e-07,-2.3826906021427308e-07,-8.592618826875665e-08,-8.845944732260243e-08
28.0,0.009817266021855175,-2.6882508487357138e-05,-1.6637116583278473e-06,-7.184107027035565e-07,-8.35577557580354e-08,-9.079859807150337e-08
29.0,0.010668260045349598,-2.6882508487357138e-05,-1.4575880883094055e-06,-6.163865361302952e-07,-1.013066643695567e-07,-9.846279026730726e-08
30.0,0.009665433084592223,-2.6882508487357138e-05,-1.4816792469544207e-06,-1.0447655358839657e-06,-1.1539488450200996e-07,-1.0442043308651821e-07
31.0,0.010353743098676205,-2.6882508487357138e-05,-2.886125057686273e-06,-1.2368108264150174e-06,-1.3073581077961605e-07,-1.1523766704341156e-07
32.0,0.011772640980780125,-2.6882508487357138e-05,-2.5814124993798516e-06,-1.2909852626383036e-06,-1.6471312490938987e-07,-1.2979819686393753e-07
33.0,0.008633772959001362,1.2747429822082154e-05,-1.3589362059988415e-06,-1.230517217248429e-06,-1.8700045434256376e-07,-1.409442705149734e-07
34.0,0.008712920942343771,1.2747429822082154e-05,-4.017788006181129e-06,-1.0198033088239817e-06,-1.9884075807112027e-07,-1.5166566974705182e-07
35.0,0.010684499982744455,1.2747429822082154e-05,-1.3587668398184084e-06,-5.023481391796928e-07,-2.4176881395383343e-07,-1.6256175818258438e-07
36.0,0.00942965701688081,4.048467522913677e-05,1.4098769691013319e-06,2.0257134231500572e-07,-2.5458151921923203e-07,-1.6729872883811717e-07
37.0,0.010710092959925532,4.048467522913677e-05,6.829177395092423e-07,1.0504806380830412e-06,-2.394816058180987e-07,-1.6512917093090658e-07
38.0,0.009679766953922808,4.048467522913677e-05,3.1371468216652477e-06,1.491342196428936e-06,-2.3287112125094946e-07,-1.549607631646546e-07
39.0,0.009744895971380174,4.048467522913677e-05,2.6790715609644203e-06,1.5406053520731242e-06,-2.0229995182687567e-07,-1.40427788602725e-07
40.0,0.010763702914118767,4.048467522913677e-05,-1.076858203133713e-06,-3.047834759210385e-07,-1.7346322145899022e-07,-1.2384517028510855e-07
41.0,0.009365305071696639,4.048467522913677e-05,1.4449588879282162e-06,7.792007339822141e-07,-1.8354832705029652e-07,-1.266995605179212e-07
42.0,0.00962537806481123,4.048467522913677e-05,1.2297243807989333e-06,1.5461272146963735e-06,-1.6964005146587823e-07,-1.1919945886496397e-07
43.0,0.010877628927119076,3.3603859310959286e-05,-1.214719412115765e-06,-2.3896113935744903e-07,-1.5626356596891616e-07,-1.0238126074937665e-07
44.0,0.009691469953395426,3.3603859310959286e-05,1.4911192521412937e-06,6.656820884792437e-07,-1.6803598265324224e-07,-1.046971454514885e-07
