tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-5.745948193967219e-08,0.0,7.389701513847925e-06,,,,
3.0,-5.733096776609258e-10,3.349787992652233e-09,7.373173669339178e-08,1.978527626622925e-08,,,,
4.0,-5.399901271111785e-10,1.9376926407610793e-09,7.392853616671349e-08,6.515541021309651e-07,,,,
5.0,-5.201493730874422e-10,1.1314279649609789e-07,8.060004040923322e-08,3.0030777612463253e-07,-5.201493730874422e-10,1.1314279649609789e-07,8.060004040923322e-08,3.0030777612463253e-07
6.0,4.855100784041866e-10,1.0207946865387583e-07,8.326929875151385e-08,4.003345004584926e-07,,,,
7.0,1.5845573552622374e-09,1.037525241998444e-07,8.7579534182432e-08,-9.162756616357136e-07,,,,
8.0,2.609788446489114e-09,8.861786021360595e-08,7.852535161012191e-08,1.6365297206391107e-06,,,,
9.0,3.4766932815086356e-09,8.982427418860051e-08,9.453471500544083e-08,-8.188868054533747e-08,,,,
10.0,4.352683590098098e-09,9.298163481571594e-08,9.373611472518387e-08,1.6673967373814355e-07,4.352683590098098e-09,9.298163481571594e-08,9.373611472518387e-08,1.6673967373814355e-07
11.0,5.306973075768707e-09,7.148435468532207e-08,9.544739801040272e-08,2.49072948215544e-07,,,,
12.0,6.0020213229790095e-09,7.59461759758083e-08,9.786915472691489e-08,4.1535897125788014e-07,,,,
13.0,6.809525718205708e-09,7.905184385374949e-08,1.0228549551798272e-07,7.891390049863477e-08,,,,
14.0,7.578002522631575e-09,7.863056827275528e-08,1.0305263135091998e-07,7.767350353115833e-07,,,,
15.0,8.331847612667369e-09,8.112434447797299e-08,1.1049932677091607e-07,-1.1815187046396123e-07,8.331847612667369e-09,8.112434447797299e-08,1.1049932677091607e-07,-1.1815187046396123e-07
16.0,9.183813692632502e-09,8.521701741086402e-08,1.0925849842811126e-07,2.0781533681118785e-07,,,,
17.0,1.0010400532056295e-08,8.514194941078019e-08,1.1127426273971989e-07,8.277185163932766e-07,,,,
18.0,1.0852407497910958e-08,8.803667455026131e-08,1.194599427880767e-07,1.592342508795038e-08,,,,
19.0,1.1718610644502667e-08,-7.955913832199745e-07,1.1961661523153461e-07,-1.588252063230016e-06,,,,
20.0,3.248263499384197e-09,2.0681871133360565e-07,1.0270712298054926e-07,7.600539613164644e-07,3.248263499384197e-09,2.0681871133360565e-07,1.0270712298054926e-07,7.600539613164644e-07
21.0,5.159983796957637e-09,6.688188618483406e-08,1.0973265067932709e-07,8.801262003058918e-07,,,,
22.0,5.867010477498644e-09,6.901249491156299e-08,1.1903670505572039e-07,-6.195684654198311e-07,,,,
23.0,6.527067096994727e-09,6.007530999717319e-08,1.1311096266145621e-07,1.3418226264281298e-06,,,,
24.0,7.120674894848124e-09,6.220013628907524e-08,1.2636959377665715e-07,-6.081085261190972e-08,,,,
25.0,7.778169215240422e-09,-2.1469999181596534e-07,1.2572678505314048e-07,-2.536093482420416e-07,7.778169215240422e-09,-2.1469999181596534e-07,1.2572678505314048e-07,-2.536093482420416e-07
26.0,5.5739876034028955e-09,-2.0737706448167025e-07,1.2312314703127988e-07,5.789703392150311e-07,,,,
27.0,3.554824509450273e-09,1.011951333031565e-06,1.2876039309973095e-07,2.786710680068246e-06,,,,
28.0,1.3473902691970353e-08,9.09737590264169e-07,1.5607554176884035e-07,1.647380378096801e-06,,,,
29.0,2.2246072897646573e-08,-2.646810216165149e-07,1.7196045322551663e-07,-1.482840187071558e-07,,,,
30.0,1.9417345041653128e-08,-2.388610747626993e-07,1.7037569610256992e-07,-3.703665071829224e-08,1.9417345041653128e-08,-2.388610747626993e-07,1.7037569610256992e-07,-3.703665071829224e-08
31.0,1.718871937456704e-08,-2.5594464295825134e-07,1.7003013611337667e-07,6.271950929787252e-07,,,,
32.0,1.4484911705217267e-08,-2.517174666844953e-07,1.7665584580971533e-07,-8.244833477723341e-07,,,,
33.0,1.2056539942211401e-08,-2.5736645159120176e-07,1.687018801704997e-07,9.845291433632566e-07,,,,
34.0,9.325668776035503e-09,-2.535502141258898e-07,1.7914854963051602e-07,-3.080606317490722e-07,,,,
35.0,6.901914087697687e-09,-2.530593802063408e-07,1.7620371519971804e-07,7.592085957149484e-07,6.901914087697687e-09,-2.530593802063408e-07,1.7620371519971804e-07,7.592085957149484e-07
36.0,4.275893869279421e-09,-2.4827525898433826e-07,1.8408209189027486e-07,-3.9288759486597417e-07,,,,
37.0,1.8815893324026015e-09,-2.4857178920277e-07,1.8029318213455262e-07,7.322367515160153e-07,,,,
38.0,-5.555668428208372e-10,-2.4310253930287315e-07,1.8747249772143549e-07,1.3234214233142649e-08,,,,
39.0,-3.1392640310562887e-09,-7.316024152999092e-07,1.8761315113542584e-07,-9.449867974468987e-07,,,,
40.0,-1.0166786630097204e-08,-6.844733227361309e-07,1.785359311372783e-07,1.8544169809905533e-07,-1.0166786630097204e-08,-6.844733227361309e-07,1.785359311372783e-07,1.8544169809905533e-07
41.0,-1.7161420184823236e-08,-6.797866908784589e-07,1.8043096003158784e-07,-9.292415766095969e-07,,,,
42.0,-2.368773137876407e-08,-5.536364246592358e-07,1.7150975020992226e-07,-2.938670543244837e-09,,,,
43.0,-2.9560898692460866e-08,-4.690642758551275e-07,1.714785757730327e-07,-2.0863120895841336e-07,,,,
44.0,-3.406987049511481e-08,-4.747224416810459e-07,1.6947306760118968e-07,6.822496036396369e-07,,,,
45.0,-3.860503926339162e-08,-4.69989526308478e-07,1.759908068587632e-07,-3.621811455757558e-07,-3.860503926339162e-08,-4.69989526308478e-07,1.759908068587632e-07,-3.621811455757558e-07
46.0,-4.3491667442174624e-08,-2.2968021801679494e-07,1.7222509615091914e-07,4.551204887720605e-07,,,,
47.0,-4.5726534291174286e-08,-2.417798765565659e-07,1.766535737161173e-07,9.892656398794705e-07,,,,
48.0,-4.8413901181600566e-08,-2.3576812765182842e-07,1.8764919404776422e-07,2.96440054335327e-07,,,,
49.0,-5.06455933812225e-08,-2.3576688386011645e-07,1.9045518382893013e-07,1.4564959437334517e-06,,,,
50.0,-5.2917908004210774e-08,-2.3094765233594102e-07,2.0449285093926217e-07,-3.2419150838683943e-07,-5.2917908004210774e-08,-2.3094765233594102e-07,2.0449285093926217e-07,-3.2419150838683943e-07
51.0,-5.5280716367836133e-08,-8.254194673015606e-07,2.0117607157525935e-07,-8.125727735556984e-07,,,,
52.0,-6.331225240376923e-08,-7.401443062525433e-07,1.9326953705413157e-07,2.405741413810531e-07,,,,
53.0,-7.042308667052316e-08,-4.3339544208845585e-07,1.9558081991313067e-07,2.0572886039834263e-07,,,,
54.0,-7.503605674756105e-08,-2.8500510796171403e-07,1.977705547022819e-07,5.54043366426636e-07,,,,
55.0,-7.778391496987813e-08,-2.928107254688899e-07,2.0311232780538076e-07,1.3013179662802717e-06,-7.778391496987813e-08,-2.928107254688899e-07,2.0311232780538076e-07,1.3013179662802717e-06
56.0,-8.081081305737923e-08,-2.8642438665347244e-07,2.1656455656871228e-07,2.0850842835838098e-07,,,,
57.0,-8.361659656390026e-08,-2.8422532103599834e-07,2.186070834502182e-07,1.1739639331798857e-06,,,,
58.0,-8.638812203373888e-08,-2.6296750104174096e-07,2.3005458900538967e-07,7.326317723169966e-07,,,,
59.0,-8.917961803981627e-08,-1.4016608473544888e-07,2.3783174267740811e-07,1.07199241083383e-06,,,,
60.0,-9.053045958233133e-08,-1.4447909361441533e-07,2.481629999465853e-07,1.575434485048693e-06,-9.053045958233133e-08,-1.4447909361441533e-07,2.481629999465853e-07,1.575434485048693e-06
61.0,-9.201291130908128e-08,-1.3589883894618277e-07,2.6432800703733314e-07,6.616348376033285e-07,,,,
62.0,-9.332774875765917e-08,-1.312493562742334e-07,2.707294028734603e-07,1.5538095118108457e-06,,,,
63.0,-9.459144302684038e-08,-1.2167180127865515e-07,2.856897823466518e-07,1.1524790657535385e-06,,,,
64.0,-9.589194034845939e-08,-8.989886049908666e-08,2.9800813320924727e-07,1.3946499970061833e-06,,,,
65.0,-9.675490027259473e-08,-8.471535417604942e-08,3.1139570062590024e-07,2.0632739751730572e-06,-9.675490027259473e-08,-8.471535417604942e-08,3.1139570062590024e-07,2.0632739751730572e-06
66.0,-9.763539227294078e-08,-7.374103680250363e-08,3.32840410942365e-07,9.027263278717608e-07,,,,
67.0,-9.834809047569653e-08,-6.817385439716536e-08,3.4156515172920266e-07,2.070493287270842e-06,,,,
68.0,-9.902508622675698e-08,-5.593901712045032e-08,3.621260422711317e-07,1.4080463481294142e-06,,,,
69.0,-9.962102392891845e-08,-3.332688447514061e-07,3.7712644714836255e-07,7.704249587395493e-07,,,,
70.0,-1.0281102101502674e-07,-2.968822050343543e-07,3.845008339599395e-07,1.950611751906943e-06,-1.0281102101502674e-07,-2.968822050343543e-07,3.845008339599395e-07,1.950611751906943e-06
71.0,-1.0585165558403224e-07,-2.8340227366856215e-07,4.044787828668816e-07,8.432966753741012e-07,,,,
72.0,-1.0857900628096989e-07,-2.747165949351774e-07,4.125943344661484e-07,1.935399582383685e-06,,,,
73.0,-1.112033412225449e-07,-2.5991311554097085e-07,4.3108297637421245e-07,1.5007763381142781e-06,,,,
74.0,-1.1395350008554578e-07,-1.722331423289764e-07,4.469627958248641e-07,1.8219517802551552e-06,,,,
75.0,-1.1560329449903438e-07,-1.6627850265680197e-07,4.6441498782499156e-07,2.550005834005127e-06,-1.1560329449903438e-07,-1.6627850265680197e-07,4.6441498782499156e-07,2.550005834005127e-06
76.0,-1.1734046403645767e-07,-1.4883705243334677e-07,4.910557885557295e-07,1.5130188489267137e-06,,,,
77.0,-1.1877965343545374e-07,-1.370898526849912e-07,5.056860210969963e-07,2.7067720805853747e-06,,,,
78.0,-1.2023022584119258e-07,-1.1766170365365251e-07,5.343268636671867e-07,1.9418990962104878e-06,,,,
79.0,-1.2138961919737715e-07,-1.025172430430489e-07,5.53461593495292e-07,2.967855451191797e-06,,,,
80.0,-1.223752589244562e-07,-8.227130488817082e-08,5.819956834697404e-07,2.3127515827796566e-06,-1.223752589244562e-07,-8.227130488817082e-08,5.819956834697404e-07,2.3127515827796566e-06
81.0,-1.232187987926725e-07,-5.894342005605421e-08,6.05708667820807e-07,2.4810584200447507e-06,,,,
82.0,-1.2378862281463013e-07,-3.866632377118851e-08,6.296938163968018e-07,3.0914879051831955e-06,,,,
83.0,-1.2419729059492791e-07,-1.317801393027613e-08,6.623680242554259e-07,2.776919314305914e-06,,,,
84.0,-1.2432599473543165e-07,8.237539124517135e-09,6.894890316763425e-07,3.6310279665260334e-06,,,,
85.0,-1.2424649020109787e-07,3.366609778648079e-08,7.245338652447034e-07,2.9567486463676793e-06,-1.2424649020109787e-07,3.366609778648079e-08,7.245338652447034e-07,2.9567486463676793e-06
86.0,-1.2390193263650414e-07,6.300836973198083e-08,7.547948749753107e-07,3.3606302147528668e-06,,,,
87.0,-1.2330135947434896e-07,8.99705994369513e-08,7.86827195816076e-07,3.831121267995085e-06,,,,
88.0,-1.223492693588533e-07,1.221708281529166e-07,8.273690251842291e-07,3.4639018808363083e-06,,,,
89.0,-1.2116640357428484e-07,1.4771956347678604e-07,8.609067450956886e-07,4.63319394051974e-06,,,,
90.0,-1.1959051294321532e-07,1.8237953245443092e-07,9.103342329039672e-07,3.7136407773089497e-06,-1.1959051294321532e-07,1.8237953245443092e-07,9.103342329039672e-07,3.7136407773089497e-06
91.0,-1.1791374653378023e-07,2.101056962729007e-07,9.44476814740314e-07,4.92946735885342e-06,,,,
92.0,-1.1568305163076152e-07,2.473128921576985e-07,9.968130336389621e-07,3.5478881412468445e-06,,,,
