tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,-2.096666411214311e-05,-2.096666411214311e-05
14.0,-2.096666411214311e-05,
15.0,-2.096666411214311e-05,
16.0,-3.2628968024665696e-05,-3.2628968024665696e-05
17.0,-3.2628968024665696e-05,
18.0,-3.2628968024665696e-05,
19.0,-3.2628968024665696e-05,
20.0,-3.2628968024665696e-05,
21.0,-3.2628968024665696e-05,
22.0,2.8050204605580726e-05,2.8050204605580726e-05
23.0,2.8050204605580726e-05,
24.0,2.8050204605580726e-05,
25.0,2.8050204605580726e-05,
26.0,-2.6882508487357138e-05,-2.6882508487357138e-05
27.0,-2.6882508487357138e-05,
28.0,-2.6882508487357138e-05,
29.0,-2.6882508487357138e-05,
30.0,-2.6882508487357138e-05,
31.0,-2.6882508487357138e-05,
32.0,-2.6882508487357138e-05,
33.0,1.2747429822082154e-05,1.2747429822082154e-05
34.0,1.2747429822082154e-05,
35.0,1.2747429822082154e-05,
36.0,4.048467522913677e-05,4.048467522913677e-05
37.0,4.048467522913677e-05,
38.0,4.048467522913677e-05,
39.0,4.048467522913677e-05,
40.0,4.048467522913677e-05,
41.0,4.048467522913677e-05,
42.0,4.048467522913677e-05,
43.0,3.3603859310959286e-05,3.3603859310959286e-05
44.0,3.3603859310959286e-05,
45.0,3.3603859310959286e-05,
46.0,2.8508593312118716e-05,2.8508593312118716e-05
47.0,2.8508593312118716e-05,
48.0,2.8508593312118716e-05,
49.0,2.8508593312118716e-05,
50.0,2.8508593312118716e-05,
51.0,2.8508593312118716e-05,
52.0,2.8508593312118716e-05,
53.0,7.809085470407959e-06,7.809085470407959e-06
54.0,7.809085470407959e-06,
55.0,7.809085470407959e-06,
56.0,1.6810994464822983e-05,1.6810994464822983e-05
57.0,1.6810994464822983e-05,
58.0,1.6810994464822983e-05,
59.0,1.6810994464822983e-05,
60.0,1.6810994464822983e-05,
61.0,1.6810994464822983e-05,
