tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,-1.0913395237991272e-05,-1.0913395237991272e-05
10.0,-1.0913395237991272e-05,
11.0,-2.701850947377825e-05,-2.701850947377825e-05
12.0,-2.701850947377825e-05,
13.0,-2.701850947377825e-05,
14.0,-2.701850947377825e-05,
15.0,-2.701850947377825e-05,
16.0,-2.701850947377825e-05,
17.0,-2.701850947377825e-05,
18.0,-2.701850947377825e-05,
19.0,-2.701850947377825e-05,
20.0,-2.701850947377825e-05,
21.0,-2.701850947377825e-05,
22.0,-2.701850947377825e-05,
23.0,-2.701850947377825e-05,
24.0,-2.701850947377825e-05,
25.0,-2.701850947377825e-05,
26.0,-2.701850947377825e-05,
27.0,-2.701850947377825e-05,
28.0,-2.701850947377825e-05,
29.0,-2.701850947377825e-05,
30.0,-2.701850947377825e-05,
31.0,-2.701850947377825e-05,
32.0,-2.701850947377825e-05,
33.0,-2.701850947377825e-05,
34.0,-2.701850947377825e-05,
35.0,-2.701850947377825e-05,
36.0,6.021574480701029e-05,6.021574480701029e-05
37.0,8.092916651938572e-05,8.092916651938572e-05
38.0,8.092916651938572e-05,
39.0,8.092916651938572e-05,
40.0,8.092916651938572e-05,
41.0,8.092916651938572e-05,
42.0,8.092916651938572e-05,
43.0,8.092916651938572e-05,
44.0,8.092916651938572e-05,
45.0,8.092916651938572e-05,
46.0,8.092916651938572e-05,
47.0,8.092916651938572e-05,
48.0,8.092916651938572e-05,
49.0,8.092916651938572e-05,
50.0,3.30444335748136e-05,3.30444335748136e-05
51.0,5.4372925489348014e-05,5.4372925489348014e-05
52.0,5.4372925489348014e-05,
53.0,5.4372925489348014e-05,
54.0,5.4372925489348014e-05,
55.0,5.4372925489348014e-05,
56.0,7.483777932728359e-05,7.483777932728359e-05
57.0,7.483777932728359e-05,
58.0,7.483777932728359e-05,
59.0,7.483777932728359e-05,
60.0,7.483777932728359e-05,
61.0,6.372240533275919e-05,6.372240533275919e-05
62.0,6.372240533275919e-05,
