tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
25.0,-1.0256241467202183e-07,1.0913018242974397e-06,-1.189515312350221e-07,2.5763880025491144e-06,-1.0256241467202183e-07,1.0913018242974397e-06,-1.189515312350221e-07,2.5763880025491144e-06
26.0,-9.102559414501022e-08,2.649850847144548e-07,-9.171495439479699e-08,5.977587365253285e-07,,,,
27.0,-8.845944732260243e-08,-2.3826906021427308e-07,-8.592618826875665e-08,2.41251740092266e-07,,,,
28.0,-9.079859807150337e-08,-7.184107027035565e-07,-8.35577557580354e-08,-1.6637116583278473e-06,,,,
29.0,-9.846279026730726e-08,-6.163865361302952e-07,-1.013066643695567e-07,-1.4575880883094055e-06,,,,
30.0,-1.0442043308651821e-07,-1.0447655358839657e-06,-1.1539488450200996e-07,-1.4816792469544207e-06,-1.0442043308651821e-07,-1.0447655358839657e-06,-1.1539488450200996e-07,-1.4816792469544207e-06
31.0,-1.1523766704341156e-07,-1.2368108264150174e-06,-1.3073581077961605e-07,-2.886125057686273e-06,,,,
32.0,-1.2979819686393753e-07,-1.2909852626383036e-06,-1.6471312490938987e-07,-2.5814124993798516e-06,,,,
33.0,-1.409442705149734e-07,-1.230517217248429e-06,-1.8700045434256376e-07,-1.3589362059988415e-06,,,,
34.0,-1.5166566974705182e-07,-1.0198033088239817e-06,-1.9884075807112027e-07,-4.017788006181129e-06,,,,
35.0,-1.6256175818258438e-07,-5.023481391796928e-07,-2.4176881395383343e-07,-1.3587668398184084e-06,-1.6256175818258438e-07,-5.023481391796928e-07,-2.4176881395383343e-07,-1.3587668398184084e-06
36.0,-1.6729872883811717e-07,2.0257134231500572e-07,-2.5458151921923203e-07,1.4098769691013319e-06,,,,
37.0,-1.6512917093090658e-07,1.0504806380830412e-06,-2.394816058180987e-07,6.829177395092423e-07,,,,
38.0,-1.549607631646546e-07,1.491342196428936e-06,-2.3287112125094946e-07,3.1371468216652477e-06,,,,
39.0,-1.40427788602725e-07,1.5406053520731242e-06,-2.0229995182687567e-07,2.6790715609644203e-06,,,,
40.0,-1.2384517028510855e-07,-3.047834759210385e-07,-1.7346322145899022e-07,-1.076858203133713e-06,-1.2384517028510855e-07,-3.047834759210385e-07,-1.7346322145899022e-07,-1.076858203133713e-06
41.0,-1.266995605179212e-07,7.792007339822141e-07,-1.8354832705029652e-07,1.4449588879282162e-06,,,,
42.0,-1.1919945886496397e-07,1.5461272146963735e-06,-1.6964005146587823e-07,1.2297243807989333e-06,,,,
43.0,-1.0238126074937665e-07,-2.3896113935744903e-07,-1.5626356596891616e-07,-1.214719412115765e-06,,,,
