tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,-2.7032166161724816e-05,-2.7032166161724816e-05
17.0,3.0289158240390627e-05,3.0289158240390627e-05
18.0,3.0289158240390627e-05,
19.0,-0.0001620974266509161,-0.0001620974266509161
20.0,2.937883436657723e-05,2.937883436657723e-05
21.0,0.00015971382764412768,0.00015971382764412768
22.0,-0.00010211155565995736,-0.00010211155565995736
23.0,-4.0024909246431044e-05,-4.0024909246431044e-05
24.0,-5.386859302988837e-06,-5.386859302988837e-06
25.0,-1.9779267238797035e-05,-1.9779267238797035e-05
26.0,-9.132165056449496e-06,-9.132165056449496e-06
27.0,-3.0301654379263663e-05,-3.0301654379263663e-05
28.0,-9.098742013059804e-06,-9.098742013059804e-06
29.0,-6.086904180885131e-06,-6.086904180885131e-06
30.0,-7.93206538084975e-06,-7.93206538084975e-06
31.0,-1.3223157024086786e-06,-1.3223157024086786e-06
32.0,-1.5889802231631304e-05,-1.5889802231631304e-05
33.0,-2.6186039801026386e-05,-2.6186039801026386e-05
34.0,-1.544535309589094e-05,-1.544535309589094e-05
35.0,-1.813003726008869e-05,-1.813003726008869e-05
36.0,-4.5535125948458575e-05,-4.5535125948458575e-05
37.0,-1.288571611321748e-05,-1.288571611321748e-05
38.0,-3.268692675218478e-05,-3.268692675218478e-05
39.0,-4.2844243908228445e-05,-4.2844243908228445e-05
40.0,-1.8811544819260748e-05,-1.8811544819260748e-05
41.0,-4.517390774784915e-05,-4.517390774784915e-05
42.0,-1.464931654324607e-05,-1.464931654324607e-05
43.0,-1.570570579007277e-05,-1.570570579007277e-05
44.0,-1.9946083246466674e-05,-1.9946083246466674e-05
45.0,-2.5088447150741694e-05,-2.5088447150741694e-05
46.0,-2.5088447150741694e-05,
47.0,-4.285797818964116e-06,-4.285797818964116e-06
48.0,1.979202133042941e-05,1.979202133042941e-05
