tick,tick_dt,input_force,output_angle,output_speed,output_ang_vel,output_position
33.0,0.010211814078502357,-4.041898453325851e-05,-4.757598268716162e-08,-6.751244557162343e-07,-1.858872858015391e-06,-1.0013507488776886e-07
34.0,0.01040105102583766,2.9280384859285212e-05,-6.691021413392438e-08,-8.405285575720237e-08,6.638223342740368e-07,-1.071570788004643e-07
35.0,0.00917731795925647,-2.049858162948573e-05,-6.081810550383572e-08,-3.279659572731163e-07,-4.273282324280674e-07,-1.0792845858313166e-07
36.0,0.010423124069347978,1.5086838369034257e-06,-6.527220068876863e-08,-2.8279569935644706e-07,-1.2443982220415597e-06,-1.1134688844631183e-07
37.0,0.00974126800429076,2.7149899469026578e-05,-7.739421727373838e-08,2.2722779148536008e-07,1.4016854877187647e-06,-1.1410167714420382e-07
38.0,0.010412401985377073,-2.9751078549697552e-05,-6.279930451854128e-08,-3.892827170848324e-07,-7.504563761262852e-07,-1.117356900370088e-07
39.0,0.009623716003261507,8.66459225536866e-06,-7.002148355521745e-08,-2.29231329788925e-07,3.7145036912220316e-08,-1.1548203635121123e-07
40.0,0.010377384023740888,-7.712719907788371e-06,-6.963601524260332e-08,-3.926667530112024e-07,-9.388713747407198e-07,-1.178608578907037e-07
41.0,0.009289963985793293,1.445951567775994e-05,-7.835809650123684e-08,-1.3303628029026963e-07,2.395924902365449e-07,-1.2150871788459617e-07
42.0,0.010663099936209619,-9.449736366134395e-06,-7.580329783387924e-08,-3.3902845791900073e-07,-1.2193403935312438e-06,-1.229272970364729e-07
43.0,0.010323644964955747,2.4969455251182974e-05,-8.839133514812523e-08,1.5742182997561436e-07,1.3383001349441068e-06,-1.2642730646904513e-07
44.0,0.009300888981670141,-2.984855857005444e-05,-7.594395416885593e-08,1.0171900376808342e-06,2.443506246285146e-06,-1.249631435051506e-07
45.0,0.010291812010109425,-3.210106066021938e-05,-5.0795847236561063e-08,5.062845592097827e-07,-9.111797552220762e-08,-1.1449441485878332e-07
46.0,0.00947920000180602,2.043762589300917e-05,-5.165957275029573e-08,8.789932794614076e-07,2.1240963566565014e-06,-1.0969524226420758e-07
47.0,0.01054697297513485,-2.9857244006180755e-05,-2.925678588005722e-08,2.4836957472161493e-07,2.2601316747358358e-08,-1.0042452390040296e-07
48.0,0.009478071006014943,6.05049954468329e-06,-2.9042568995096323e-08,3.547562536603053e-07,1.2622718419122358e-06,-9.807045943545776e-08
49.0,0.010602824040688574,-2.590044796972043e-05,-1.5658922763785024e-08,-1.9499937566965434e-07,-9.592504819112085e-07,-9.430904130056366e-08
50.0,0.009273463976569474,1.716826300051247e-05,-2.4554497552295524e-08,1.1247479720642414e-07,8.986378414862611e-07,-9.611736098628974e-08
51.0,0.010732116992585361,-2.45655081069677e-05,-1.491021110350059e-08,-4.1636852845505354e-07,-1.5855464823860441e-06,-9.491026830395307e-08
52.0,0.00955786497797817,2.7167621639446312e-05,-3.006465029845464e-08,8.643088440063641e-08,1.1644510764713605e-06,-9.888986248000594e-08
53.0,0.010472401045262814,-3.271670857644032e-05,-1.7870051628058552e-08,-5.995968899579627e-07,-1.6563181844930363e-06,-9.798472359586574e-08
54.0,0.010307349031791091,2.2751949779599562e-05,-3.4942301263330827e-08,-1.437714306485837e-07,3.847333140558952e-07,-1.041649780190389e-07
55.0,0.009157096035778522,-1.8193904311190364e-05,-3.1419261358357656e-08,5.132300882648397e-07,1.2181161974251513e-06,-1.0548150681668925e-07
56.0,0.009940023068338633,-1.9021490020771515e-05,-1.9311158256034718e-08,2.189763749142438e-07,-5.927767959973371e-07,-1.0037998789997127e-07
57.0,0.010021318099461496,2.1638104390977493e-05,-2.5251563090703626e-08,6.382447651260802e-07,1.5764001862927535e-06,-9.818555599068869e-08
58.0,0.01087266905233264,-2.5183394259088402e-05,-8.111885571106998e-09,9.55093988602856e-08,2.389261680503952e-07,-9.124613188508905e-08
