seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1639063962.5836756,122.0,1639063962.7843702,72.0,0.20069456100463867
2.0,1639063962.6024342,122.0,1639063962.786052,72.0,0.18361783027648926
5.0,1639063962.6322653,122.0,1639063962.787661,72.0,0.1553957462310791
9.0,1639063962.6723428,122.0,1639063962.7893977,72.0,0.11705493927001953
10.0,1639063962.6829312,122.0,1639063962.7970505,72.0,0.11411929130554199
11.0,1639063962.6923916,122.0,1639063962.7989073,72.0,0.10651564598083496
13.0,1639063962.7124004,122.0,1639063962.8005283,72.0,0.08812785148620605
14.0,1639063962.7229922,122.0,1639063962.8021684,72.0,0.07917618751525879
15.0,1639063962.732441,122.0,1639063962.8038843,72.0,0.07144331932067871
18.0,1639063962.7621222,122.0,1639063962.8111804,72.0,0.04905819892883301
19.0,1639063962.772566,122.0,1639063962.8129148,72.0,0.04034876823425293
20.0,1639063962.7819412,122.0,1639063962.8144617,72.0,0.03252053260803223
21.0,1639063962.7943294,122.0,1639063962.8163755,72.0,0.02204608917236328
22.0,1639063962.8088763,122.0,1639063962.8180819,72.0,0.00920557975769043
23.0,1639063962.8228934,122.0,1639063962.8264477,72.0,0.0035543441772460938
24.0,1639063962.8325799,122.0,1639063962.8363078,72.0,0.0037279129028320312
25.0,1639063962.8425581,122.0,1639063962.8471112,72.0,0.004553079605102539
26.0,1639063962.8520567,122.0,1639063962.8562732,72.0,0.004216432571411133
27.0,1639063962.8622274,122.0,1639063962.8667011,72.0,0.004473686218261719
28.0,1639063962.8727949,122.0,1639063962.8770084,72.0,0.004213571548461914
29.0,1639063962.881914,122.0,1639063962.886681,72.0,0.004767179489135742
30.0,1639063962.892952,122.0,1639063962.8972404,72.0,0.004288434982299805
31.0,1639063962.9021413,122.0,1639063962.9062638,72.0,0.004122495651245117
32.0,1639063962.9123971,122.0,1639063962.9167902,72.0,0.004393100738525391
33.0,1639063962.9228203,122.0,1639063962.9271462,72.0,0.00432586669921875
34.0,1639063962.932052,122.0,1639063962.9364064,72.0,0.0043544769287109375
35.0,1639063962.9424875,122.0,1639063962.9470036,72.0,0.004516124725341797
36.0,1639063962.952227,122.0,1639063962.9565234,72.0,0.004296302795410156
37.0,1639063962.9625385,122.0,1639063962.9672816,72.0,0.004743099212646484
38.0,1639063962.9723175,122.0,1639063962.9765353,72.0,0.004217863082885742
39.0,1639063962.9825435,122.0,1639063962.98694,72.0,0.0043964385986328125
40.0,1639063962.9919317,122.0,1639063962.996382,72.0,0.004450321197509766
41.0,1639063963.0025008,122.0,1639063963.0067816,72.0,0.004280805587768555
42.0,1639063963.0128286,122.0,1639063963.017191,72.0,0.004362344741821289
43.0,1639063963.0221155,122.0,1639063963.0263247,72.0,0.004209280014038086
44.0,1639063963.032494,122.0,1639063963.0369363,72.0,0.0044422149658203125
45.0,1639063963.041889,122.0,1639063963.0462139,72.0,0.004324913024902344
46.0,1639063963.0524764,122.0,1639063963.0570426,72.0,0.004566192626953125
47.0,1639063963.0619223,122.0,1639063963.0662892,72.0,0.004366874694824219
48.0,1639063963.0725484,122.0,1639063963.0769088,72.0,0.0043604373931884766
49.0,1639063963.0817966,122.0,1639063963.0863829,72.0,0.004586219787597656
50.0,1639063963.0925717,122.0,1639063963.0969734,72.0,0.004401683807373047
51.0,1639063963.1022236,122.0,1639063963.1064756,72.0,0.004251956939697266
52.0,1639063963.1125855,122.0,1639063963.116755,72.0,0.004169464111328125
53.0,1639063963.1229699,122.0,1639063963.1272535,72.0,0.0042836666107177734
54.0,1639063963.1321983,122.0,1639063963.1360197,72.0,0.0038213729858398438
55.0,1639063963.141988,122.0,1639063963.1459334,72.0,0.003945350646972656
56.0,1639063963.1522923,122.0,1639063963.1558967,72.0,0.003604412078857422
57.0,1639063963.1629558,122.0,1639063963.1665406,72.0,0.0035848617553710938
58.0,1639063963.1726248,122.0,1639063963.1761456,72.0,0.0035207271575927734
59.0,1639063963.1821113,122.0,1639063963.1856804,72.0,0.0035691261291503906
60.0,1639063963.1929104,122.0,1639063963.1965954,72.0,0.00368499755859375
61.0,1639063963.2021182,122.0,1639063963.20574,72.0,0.003621816635131836
62.0,1639063963.2130678,122.0,1639063963.2166362,72.0,0.003568410873413086
63.0,1639063963.2227259,122.0,1639063963.2262373,72.0,0.0035114288330078125
64.0,1639063963.2323933,122.0,1639063963.2361915,72.0,0.003798246383666992
65.0,1639063963.2421517,122.0,1639063963.2464314,72.0,0.004279613494873047
66.0,1639063963.2525487,122.0,1639063963.2569683,72.0,0.004419565200805664
67.0,1639063963.261841,122.0,1639063963.2661884,72.0,0.004347324371337891
68.0,1639063963.2723024,122.0,1639063963.2765985,72.0,0.004296064376831055
69.0,1639063963.2825248,122.0,1639063963.2868328,72.0,0.004307985305786133
70.0,1639063963.292863,122.0,1639063963.2970586,72.0,0.004195690155029297
71.0,1639063963.3019547,122.0,1639063963.3060286,72.0,0.0040738582611083984
72.0,1639063963.3121684,122.0,1639063963.3165228,72.0,0.0043544769287109375
73.0,1639063963.3225195,122.0,1639063963.3267303,72.0,0.004210710525512695
74.0,1639063963.3328366,122.0,1639063963.3372123,72.0,0.0043756961822509766
75.0,1639063963.3421,122.0,1639063963.3464136,72.0,0.00431370735168457
76.0,1639063963.3525198,122.0,1639063963.3572268,72.0,0.0047070980072021484
77.0,1639063963.3621752,122.0,1639063963.3664212,72.0,0.0042459964752197266
78.0,1639063963.3729677,122.0,1639063963.377347,72.0,0.0043792724609375
79.0,1639063963.3822765,122.0,1639063963.3868325,72.0,0.004555940628051758
80.0,1639063963.3929129,122.0,1639063963.3972638,72.0,0.004350900650024414
81.0,1639063963.4023128,122.0,1639063963.4067633,72.0,0.004450559616088867
82.0,1639063963.4128137,122.0,1639063963.4172218,72.0,0.004408121109008789
83.0,1639063963.4223723,122.0,1639063963.4267807,72.0,0.004408359527587891
84.0,1639063963.4328022,122.0,1639063963.4372222,72.0,0.004420042037963867
85.0,1639063963.4423249,122.0,1639063963.4476829,72.0,0.005357980728149414
86.0,1639063963.4546747,122.0,1639063963.458984,72.0,0.004309177398681641
87.0,1639063963.4640236,122.0,1639063963.4683743,72.0,0.0043506622314453125
88.0,1639063963.4735904,122.0,1639063963.4780095,72.0,0.004419088363647461
89.0,1639063963.482913,122.0,1639063963.487189,72.0,0.0042760372161865234
90.0,1639063963.4920943,122.0,1639063963.4963455,72.0,0.004251241683959961
91.0,1639063963.502409,122.0,1639063963.5070012,72.0,0.004592180252075195
92.0,1639063963.5119283,122.0,1639063963.5163124,72.0,0.004384040832519531
93.0,1639063963.5224147,122.0,1639063963.5266573,72.0,0.004242658615112305
94.0,1639063963.5328503,122.0,1639063963.5372214,72.0,0.004371166229248047
95.0,1639063963.54214,122.0,1639063963.5467591,72.0,0.004619121551513672
96.0,1639063963.5527937,122.0,1639063963.557304,72.0,0.004510164260864258
97.0,1639063963.5621467,122.0,1639063963.566567,72.0,0.004420280456542969
98.0,1639063963.5726323,122.0,1639063963.5769494,72.0,0.004317045211791992
