tick,tick_dt,input_force,output_position,output_speed,output_angle,output_ang_vel
75.0,0.009594404953531921,-6.819701368769289e-05,-2.7003478429978395e-07,3.288450512194558e-07,-8.724807159652714e-08,1.3025231538917688e-06
76.0,0.010492421104572713,-3.0976390434211745e-05,-2.6658440354423464e-07,2.1275352095931932e-07,-7.358145016743853e-08,1.0203552193826275e-06
77.0,0.009630404063500464,-2.843028493488543e-05,-2.64535501171464e-07,-3.637217302202082e-07,-6.375501711648217e-08,4.789306588845201e-07
78.0,0.010896189021877944,-3.4683124779447245e-05,-2.684986818953079e-07,-9.383430774187698e-07,-5.853649812890389e-08,-1.6466529258444422e-06
79.0,0.009316485025919974,5.2292151755895116e-06,-2.7724074112525553e-07,-8.787297028446631e-07,-7.387751545542096e-08,-2.1338326919266412e-07
80.0,0.01054249401204288,-3.28191801471134e-05,-2.865047437556996e-07,-1.573823469629708e-06,-7.612710729315475e-08,-3.222042250636699e-06
81.0,0.009898582939058542,2.8892773067066112e-05,-3.0208336590126613e-07,-1.022841320556592e-06,-1.0802075974423296e-07,-3.491442570901204e-07
82.0,0.009398429072462022,-3.148790196798088e-05,-3.1169646750490063e-07,-7.507444045569107e-07,-1.1130216728055191e-07,-1.164687168275711e-06
83.0,0.01058954803738743,1.8387107174386755e-06,-3.1964651144075585e-07,-6.078866819503e-07,-1.2363567799753628e-07,-1.0916519499902477e-06
84.0,0.009630311978980899,5.905505136616853e-06,-3.2550064983580475e-07,-5.088619204840092e-07,-1.341486268484052e-07,2.88542965869755e-07
85.0,0.010657417005859315,-2.9583322991465633e-05,-3.309238035208053e-07,-9.82301555936446e-07,-1.310735041370238e-07,-1.873124551677817e-06
86.0,0.009450871963053942,1.521165215002507e-05,-3.402074097550693e-07,-7.276406321119773e-07,-1.4877616444578367e-07,-2.490403265470285e-07
87.0,0.009828381007537246,-2.1047509802257687e-05,-3.4735893912403106e-07,-1.1203586357198921e-06,-1.5122382766132935e-07,-2.254588041402545e-06
88.0,0.010614010971039534,2.2705093769769544e-05,-3.5925043797506085e-07,-4.236130748989048e-07,-1.751540498679505e-07,-5.27557041226e-07
89.0,0.009469222975894809,7.344180727711757e-08,-3.63261724636783e-07,-4.5830858594696593e-07,-1.8014960512382283e-07,7.056382685194031e-08
90.0,0.010424755979329348,-1.8151139499570955e-05,-3.680394798085116e-07,-8.443425427550196e-07,-1.794139944479237e-07,-1.9168006106009024e-06
91.0,0.009493537014350295,2.507585601815295e-05,-3.7605527699094703e-07,-3.869717796675603e-07,-1.976112119937926e-07,1.5411170243858956e-07
92.0,0.009694773005321622,-1.6651149967532682e-05,-3.798068805542894e-07,-7.17110344316198e-07,-1.961171340211868e-07,-1.4745485474462367e-06
93.0,0.010983316926285625,1.8178042633498868e-05,-3.8768313073703197e-07,-9.730120086737465e-07,-2.1231256804098292e-07,-2.1131458771904422e-06
94.0,0.00979936309158802,2.8872904865216512e-05,-3.972180287025014e-07,-3.613150398876849e-07,-2.3302005175706434e-07,4.172930877820971e-07
95.0,0.009921229910105467,-2.036438962010479e-05,-4.0080271828320605e-07,-7.741517867302417e-07,-2.2887999109328034e-07,-1.8671938149225865e-06
96.0,0.009722512913867831,3.0164587772628855e-05,-4.083294190269847e-07,-5.180689476061335e-07,-2.470338070715593e-07,-1.1671561206185484e-06
97.0,0.009838157915510237,2.0883115831101966e-05,-4.1342626314465604e-07,-9.177982447446691e-08,-2.585164732982589e-07,-2.1221125853987167e-07
98.0,0.00984234397765249,9.733694204838186e-06,-4.143295917473423e-07,-4.628218008284704e-07,-2.606051295007389e-07,-1.120896333955273e-06
99.0,0.010203242069110274,2.2809133624238232e-05,-4.190518746160567e-07,-1.7669559946653128e-08,-2.720419061304628e-07,-1.3055590075057522e-07
100.0,0.00996117398608476,1.1333898507004425e-05,-4.192278841769429e-07,1.950733507563329e-07,-2.733423961727493e-07,3.284129471906008e-07
101.0,0.010390294017270207,5.890574075655517e-06,-4.1720101470765053e-07,9.475866347175975e-07,-2.699300890923607e-07,2.0265803710270096e-06
102.0,0.009140842012129724,-1.6325439098601945e-05,-4.085392749868913e-07,3.0466025616676e-07,-2.5140543809591957e-07,4.5354563638706783e-07
103.0,0.010478587937541306,4.250330013435697e-06,-4.0534686570157407e-07,3.438223447402678e-07,-2.4665292026134953e-07,-6.49154593771592e-07
104.0,0.010354627971537411,3.723747914777389e-05,-4.017867132334869e-07,1.085851857323122e-06,-2.5337467457586886e-07,2.499051156540134e-06
105.0,0.009069269988685846,-2.6080577096936964e-05,-3.919388295717075e-07,3.6036193434979957e-07,-2.3071010492166877e-07,5.05736803440847e-07
