tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
17.0,0.010316179017536342,0.0,1.1681788694967876e-06,1.4837609369768631e-08,1.6669804999531927e-07,1.0988538743806553e-07
18.0,0.009332200046628714,0.0,3.462811524895624e-07,1.6393268919707864e-08,4.412899255116219e-08,1.2078706633845413e-07
19.0,0.01445692905690521,-2.18074502919358e-05,-1.8907832478433643e-06,1.7031238634372715e-08,-6.476708505014352e-07,1.257932283937391e-07
20.0,0.015434094937518239,1.7377275592569842e-05,4.764941432580085e-06,7.035025239470382e-09,-1.530415890222335e-07,9.661070024025555e-08
21.0,0.010747893014922738,-0.00015464427747779888,-2.9385178406241826e-06,5.390150613825641e-09,-1.5892889627423979e-06,1.47823780979999e-07
22.0,0.009259275044314563,1.032818368020554e-05,-5.417806180353554e-06,-9.32551301709962e-09,-1.6551192685560082e-06,1.206152360710344e-07
23.0,0.010500823962502182,8.215345494742217e-05,-1.6291325556605703e-06,-2.6705629093151633e-08,6.395472669558909e-08,6.372380710818536e-08
24.0,0.010230366955511272,4.043295393183468e-05,2.786464392438975e-06,-2.6051348770516323e-08,8.649188048476741e-07,4.7057183244607833e-08
25.0,0.00913977692835033,-5.645678346259815e-05,2.231695834377127e-06,-1.814618383307321e-08,8.002170329093548e-07,7.25248462102913e-08
26.0,0.010456861928105354,-4.529327568490805e-05,-6.631899527311182e-07,-9.778424807421949e-09,-2.396381839281275e-09,9.586138141590079e-08
27.0,0.010325567913241684,7.205297023624058e-06,1.605111377399754e-06,-9.803168810849507e-09,1.3415004758368604e-07,8.901356851959608e-08
28.0,0.009208460920490324,-5.275411215292453e-05,1.3177668876064417e-06,-8.567853340193216e-09,3.8758813073623197e-07,1.0379417391141611e-07
29.0,0.010303179966285825,-3.6924924123919946e-05,-8.730312678576456e-07,-4.5744630764215e-09,-2.218990290010932e-07,1.1737136330803762e-07
30.0,0.01043254800606519,3.0792578414780766e-06,9.86730063855293e-07,-6.889435348974657e-09,-1.6679482001553984e-07,1.0826342269531678e-07
31.0,0.009383921045809984,-4.78589123537288e-05,-4.315920161485979e-07,-8.45462477085057e-09,-4.310244583701063e-07,1.1752281970806188e-07
32.0,0.01019782992079854,-1.7529918812419528e-05,-1.4500302670811645e-06,-1.2850138889013226e-08,-7.290798750431235e-07,1.1312151773220394e-07
33.0,0.010499454103410244,1.4441335566486795e-06,-1.111974911896223e-07,-2.0505079574748574e-08,-7.045300993532088e-07,9.789699149442956e-08
34.0,0.009122149087488651,-3.5090365873646664e-05,-9.327754079608663e-07,-2.6931908177671738e-08,-7.235445628577969e-07,9.688263140164311e-08
35.0,0.01041352900210768,-1.2224990114886021e-05,-2.0175796271984046e-06,-3.446656046730873e-08,-8.877039146947259e-07,8.716914763838981e-08
36.0,0.010354864061810076,1.3973832408919385e-05,5.351221197288217e-07,-4.3658613831109264e-08,-6.129122135833378e-07,6.627738486487289e-08
37.0,0.009225719957612455,-4.8076851704646316e-05,9.5183011512831e-07,-4.931317027222949e-08,1.6973759236409376e-07,7.121427168461496e-08
38.0,0.010247754980809987,-3.269521158075633e-05,-8.34559805381762e-07,-4.757374101464965e-08,-3.11005125767746e-07,8.096839348780605e-08
39.0,0.01067169092129916,5.818905162026927e-07,8.424869259687851e-07,-5.089269159178281e-08,-3.084501182274154e-07,7.20622291894323e-08
