seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1639063963.9184737,122.0,1639063964.219652,72.0,0.3011782169342041
1.0,1639063963.9270346,122.0,1639063964.221465,72.0,0.2944304943084717
9.0,1639063964.0072482,122.0,1639063964.2231774,72.0,0.21592926979064941
10.0,1639063964.0168016,122.0,1639063964.2249122,72.0,0.20811057090759277
11.0,1639063964.0262132,122.0,1639063964.2265425,72.0,0.20032930374145508
12.0,1639063964.0367455,122.0,1639063964.2282338,72.0,0.19148826599121094
13.0,1639063964.0471606,122.0,1639063964.230003,72.0,0.18284249305725098
16.0,1639063964.0764594,122.0,1639063964.2315958,72.0,0.1551363468170166
17.0,1639063964.0867326,122.0,1639063964.2332737,72.0,0.14654111862182617
18.0,1639063964.0972002,122.0,1639063964.2349114,72.0,0.1377112865447998
19.0,1639063964.1065614,122.0,1639063964.236492,72.0,0.1299304962158203
21.0,1639063964.1262891,122.0,1639063964.2380257,72.0,0.11173653602600098
22.0,1639063964.1368377,122.0,1639063964.2395213,72.0,0.10268354415893555
24.0,1639063964.1566813,122.0,1639063964.2413368,72.0,0.0846555233001709
25.0,1639063964.1669455,122.0,1639063964.2429154,72.0,0.07596993446350098
27.0,1639063964.1870115,122.0,1639063964.2444665,72.0,0.05745506286621094
28.0,1639063964.1969967,122.0,1639063964.2459528,72.0,0.04895615577697754
30.0,1639063964.217273,122.0,1639063964.2474213,72.0,0.03014826774597168
31.0,1639063964.252398,122.0,1639063964.256237,72.0,0.0038390159606933594
32.0,1639063964.2662697,122.0,1639063964.270655,72.0,0.004385232925415039
33.0,1639063964.276792,122.0,1639063964.2810674,72.0,0.004275321960449219
34.0,1639063964.2871552,122.0,1639063964.2917988,72.0,0.004643678665161133
35.0,1639063964.2969263,122.0,1639063964.3013413,72.0,0.004415035247802734
36.0,1639063964.3063865,122.0,1639063964.310885,72.0,0.004498481750488281
37.0,1639063964.316965,122.0,1639063964.3213823,72.0,0.0044171810150146484
38.0,1639063964.3262851,122.0,1639063964.3306246,72.0,0.004339456558227539
39.0,1639063964.3367515,122.0,1639063964.3411064,72.0,0.004354953765869141
40.0,1639063964.346262,122.0,1639063964.3505406,72.0,0.004278659820556641
41.0,1639063964.3569138,122.0,1639063964.3607507,72.0,0.0038368701934814453
42.0,1639063964.3667343,122.0,1639063964.3705914,72.0,0.003857135772705078
43.0,1639063964.377068,122.0,1639063964.3809571,72.0,0.0038890838623046875
44.0,1639063964.3869913,122.0,1639063964.390817,72.0,0.003825664520263672
45.0,1639063964.3975298,122.0,1639063964.4015412,72.0,0.004011392593383789
46.0,1639063964.4068677,122.0,1639063964.4107993,72.0,0.003931522369384766
47.0,1639063964.416919,122.0,1639063964.4212198,72.0,0.004300832748413086
48.0,1639063964.426179,122.0,1639063964.4300845,72.0,0.0039055347442626953
49.0,1639063964.4371858,122.0,1639063964.4411006,72.0,0.003914833068847656
50.0,1639063964.447118,122.0,1639063964.4512465,72.0,0.004128456115722656
51.0,1639063964.4562767,122.0,1639063964.460157,72.0,0.0038802623748779297
52.0,1639063964.4661698,122.0,1639063964.470048,72.0,0.0038781166076660156
53.0,1639063964.4770777,122.0,1639063964.481897,72.0,0.004819393157958984
54.0,1639063964.4877846,122.0,1639063964.491744,72.0,0.0039594173431396484
55.0,1639063964.4969418,122.0,1639063964.500822,72.0,0.0038802623748779297
56.0,1639063964.5069885,122.0,1639063964.5109982,72.0,0.004009723663330078
57.0,1639063964.5171597,122.0,1639063964.521035,72.0,0.003875255584716797
58.0,1639063964.5271533,122.0,1639063964.5309887,72.0,0.003835439682006836
59.0,1639063964.5371108,122.0,1639063964.54093,72.0,0.0038192272186279297
60.0,1639063964.5469916,122.0,1639063964.5508194,72.0,0.003827810287475586
61.0,1639063964.5568912,122.0,1639063964.560722,72.0,0.0038309097290039062
62.0,1639063964.5667377,122.0,1639063964.5706875,72.0,0.003949880599975586
63.0,1639063964.576773,122.0,1639063964.5806398,72.0,0.003866910934448242
64.0,1639063964.586601,122.0,1639063964.5906346,72.0,0.004033565521240234
65.0,1639063964.5977044,122.0,1639063964.6018906,72.0,0.004186153411865234
66.0,1639063964.6067843,122.0,1639063964.6107435,72.0,0.003959178924560547
67.0,1639063964.6169477,122.0,1639063964.6213527,72.0,0.004405021667480469
68.0,1639063964.626246,122.0,1639063964.6301506,72.0,0.003904581069946289
69.0,1639063964.6361656,122.0,1639063964.6399412,72.0,0.0037755966186523438
70.0,1639063964.6473649,122.0,1639063964.6511793,72.0,0.0038144588470458984
71.0,1639063964.6560204,122.0,1639063964.6601083,72.0,0.004087924957275391
72.0,1639063964.6670883,122.0,1639063964.6713276,72.0,0.004239320755004883
73.0,1639063964.676192,122.0,1639063964.6801615,72.0,0.003969430923461914
74.0,1639063964.686168,122.0,1639063964.6899872,72.0,0.0038192272186279297
75.0,1639063964.6972237,122.0,1639063964.701184,72.0,0.003960371017456055
76.0,1639063964.7061744,122.0,1639063964.7101243,72.0,0.003949880599975586
77.0,1639063964.7161608,122.0,1639063964.7200384,72.0,0.0038776397705078125
78.0,1639063964.7270164,122.0,1639063964.7310073,72.0,0.003990888595581055
79.0,1639063964.7371361,122.0,1639063964.7419934,72.0,0.004857301712036133
80.0,1639063964.7468853,122.0,1639063964.7507954,72.0,0.003910064697265625
81.0,1639063964.7569294,122.0,1639063964.7608516,72.0,0.003922224044799805
82.0,1639063964.7668464,122.0,1639063964.7707129,72.0,0.003866434097290039
83.0,1639063964.7767954,122.0,1639063964.780751,72.0,0.0039556026458740234
84.0,1639063964.7867239,122.0,1639063964.7906334,72.0,0.003909587860107422
85.0,1639063964.7968545,122.0,1639063964.8007698,72.0,0.003915309906005859
86.0,1639063964.8067698,122.0,1639063964.8106694,72.0,0.0038995742797851562
87.0,1639063964.8167875,122.0,1639063964.8206275,72.0,0.0038399696350097656
88.0,1639063964.8266416,122.0,1639063964.8306115,72.0,0.003969907760620117
89.0,1639063964.8367007,122.0,1639063964.8406832,72.0,0.0039825439453125
90.0,1639063964.846622,122.0,1639063964.8505392,72.0,0.003917217254638672
91.0,1639063964.8566003,122.0,1639063964.8605287,72.0,0.003928422927856445
92.0,1639063964.8665273,122.0,1639063964.8704352,72.0,0.003907918930053711
93.0,1639063964.8764205,122.0,1639063964.8803964,72.0,0.003975868225097656
94.0,1639063964.886395,122.0,1639063964.890952,72.0,0.004557132720947266
95.0,1639063964.8970861,122.0,1639063964.9010339,72.0,0.003947734832763672
96.0,1639063964.9071503,122.0,1639063964.9109955,72.0,0.00384521484375
97.0,1639063964.917075,122.0,1639063964.9217138,72.0,0.0046389102935791016
98.0,1639063964.9266143,122.0,1639063964.9304695,72.0,0.0038552284240722656
99.0,1639063964.9366283,122.0,1639063964.9405253,72.0,0.003896951675415039
100.0,1639063964.9465039,122.0,1639063964.9508662,72.0,0.004362344741821289
101.0,1639063964.9569383,122.0,1639063964.9607668,72.0,0.0038285255432128906
102.0,1639063964.9667993,122.0,1639063964.9705355,72.0,0.003736257553100586
103.0,1639063964.9765534,122.0,1639063964.9804945,72.0,0.003941059112548828
104.0,1639063964.986428,122.0,1639063964.9903138,72.0,0.0038857460021972656
105.0,1639063964.9964747,122.0,1639063965.0008004,72.0,0.0043256282806396484
106.0,1639063965.0068479,122.0,1639063965.0107691,72.0,0.0039212703704833984
107.0,1639063965.0168674,122.0,1639063965.020691,72.0,0.003823518753051758
108.0,1639063965.0266557,122.0,1639063965.0311794,72.0,0.004523754119873047
109.0,1639063965.0359633,122.0,1639063965.0399425,72.0,0.003979206085205078
110.0,1639063965.046984,122.0,1639063965.050903,72.0,0.003919124603271484
111.0,1639063965.0570166,122.0,1639063965.0609462,72.0,0.003929615020751953
