tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,0.0,
17.0,0.0,
18.0,0.0,
19.0,0.0,
20.0,0.0,
21.0,0.0,
22.0,-1.1110640316508634e-05,-1.1110640316508634e-05
23.0,-3.5943274468428065e-05,-3.5943274468428065e-05
24.0,-3.5943274468428065e-05,
25.0,-1.0844887809359174e-05,-1.0844887809359174e-05
26.0,-1.0844887809359174e-05,
27.0,4.101273458438409e-06,4.101273458438409e-06
28.0,4.101273458438409e-06,
29.0,-1.2312147155862443e-05,-1.2312147155862443e-05
30.0,-1.2312147155862443e-05,
31.0,-3.246631825502944e-05,-3.246631825502944e-05
32.0,-3.246631825502944e-05,
33.0,-1.5644240940247078e-05,-1.5644240940247078e-05
34.0,-1.5644240940247078e-05,
35.0,-1.3576138263441322e-05,-1.3576138263441322e-05
36.0,-1.3576138263441322e-05,
37.0,4.610668921998913e-06,4.610668921998913e-06
38.0,4.610668921998913e-06,
39.0,1.399539804530649e-06,1.399539804530649e-06
40.0,1.399539804530649e-06,
41.0,1.03435089355939e-05,1.03435089355939e-05
42.0,1.03435089355939e-05,
43.0,-3.458974425160106e-05,-3.458974425160106e-05
44.0,-3.458974425160106e-05,
45.0,-1.4879827197662587e-05,-1.4879827197662587e-05
46.0,-1.4879827197662587e-05,
47.0,-1.0718650847860915e-05,-1.0718650847860915e-05
48.0,-1.0718650847860915e-05,
49.0,2.4339995825654642e-06,2.4339995825654642e-06
50.0,2.4339995825654642e-06,
51.0,-1.4210316252908258e-05,-1.4210316252908258e-05
52.0,-1.4210316252908258e-05,
53.0,-3.1811223715136915e-06,-3.1811223715136915e-06
54.0,-3.1811223715136915e-06,
55.0,4.532959402728554e-06,4.532959402728554e-06
56.0,4.532959402728554e-06,
57.0,2.2654128058776457e-06,2.2654128058776457e-06
58.0,2.2654128058776457e-06,
