tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,-3.150628552651864e-05,-3.150628552651864e-05
7.0,-9.62595924832744e-06,-9.62595924832744e-06
8.0,-9.62595924832744e-06,
9.0,-9.62595924832744e-06,
10.0,-1.7666475549161007e-05,-1.7666475549161007e-05
11.0,-1.2547969468781248e-05,-1.2547969468781248e-05
12.0,-1.2547969468781248e-05,
13.0,-1.7988046191591863e-05,-1.7988046191591863e-05
14.0,-1.7988046191591863e-05,
15.0,-2.103019230946537e-06,-2.103019230946537e-06
16.0,-2.103019230946537e-06,
17.0,-1.8976996486231146e-05,-1.8976996486231146e-05
18.0,-1.8976996486231146e-05,
19.0,-3.490659962229852e-05,-3.490659962229852e-05
20.0,-3.490659962229852e-05,
21.0,-8.657152451738508e-06,-8.657152451738508e-06
22.0,-8.657152451738508e-06,
23.0,-2.8917280100542093e-05,-2.8917280100542093e-05
24.0,-2.8917280100542093e-05,
25.0,8.133310762553669e-08,8.133310762553669e-08
26.0,8.133310762553669e-08,
27.0,-3.820005795475275e-05,-3.820005795475275e-05
28.0,-3.820005795475275e-05,
29.0,2.0999101146872806e-05,2.0999101146872806e-05
30.0,2.0999101146872806e-05,
31.0,6.058651625399505e-06,6.058651625399505e-06
32.0,6.058651625399505e-06,
33.0,-2.8310282811012627e-05,-2.8310282811012627e-05
34.0,-2.8310282811012627e-05,
35.0,-2.746437868603569e-06,-2.746437868603569e-06
36.0,-2.746437868603569e-06,
37.0,2.1740148902405466e-06,2.1740148902405466e-06
38.0,2.1740148902405466e-06,
39.0,-2.929720205712759e-05,-2.929720205712759e-05
40.0,-2.929720205712759e-05,
41.0,1.4364640302095118e-05,1.4364640302095118e-05
42.0,1.4364640302095118e-05,
43.0,-3.5523517745570075e-05,-3.5523517745570075e-05
44.0,-3.5523517745570075e-05,
45.0,-9.84030354512873e-06,-9.84030354512873e-06
46.0,-9.84030354512873e-06,
47.0,-1.925957142599417e-05,-1.925957142599417e-05
48.0,-1.925957142599417e-05,
49.0,8.063392582384855e-06,8.063392582384855e-06
