tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,1.1263362712085182e-05,1.1263362712085182e-05
10.0,1.1263362712085182e-05,
11.0,-1.2121070290667231e-05,-1.2121070290667231e-05
12.0,-1.2121070290667231e-05,
13.0,-1.2121070290667231e-05,
14.0,-1.2121070290667231e-05,
15.0,-1.2121070290667231e-05,
16.0,-2.7037409613153623e-05,-2.7037409613153623e-05
17.0,-2.7037409613153623e-05,
18.0,-2.7037409613153623e-05,
19.0,-2.7037409613153623e-05,
20.0,-2.7037409613153623e-05,
21.0,-2.7037409613153623e-05,
22.0,-1.8909040346570951e-06,-1.8909040346570951e-06
23.0,-1.8909040346570951e-06,
24.0,-1.8909040346570951e-06,
25.0,-1.8909040346570951e-06,
26.0,-3.094478395964879e-05,-3.094478395964879e-05
27.0,-3.094478395964879e-05,
28.0,-3.094478395964879e-05,
29.0,-3.094478395964879e-05,
30.0,-3.094478395964879e-05,
31.0,-3.086763239472614e-05,-3.086763239472614e-05
32.0,-3.086763239472614e-05,
33.0,-3.086763239472614e-05,
34.0,-3.086763239472614e-05,
35.0,-3.086763239472614e-05,
36.0,-8.917321460600499e-06,-8.917321460600499e-06
37.0,-8.917321460600499e-06,
38.0,-8.917321460600499e-06,
39.0,-8.917321460600499e-06,
40.0,-8.917321460600499e-06,
41.0,-8.917321460600499e-06,
42.0,-9.238689075201106e-05,-9.238689075201106e-05
43.0,-9.238689075201106e-05,
44.0,-9.238689075201106e-05,
45.0,-9.238689075201106e-05,
46.0,1.8495685039496813e-05,1.8495685039496813e-05
47.0,1.8495685039496813e-05,
48.0,1.8495685039496813e-05,
49.0,1.8495685039496813e-05,
50.0,1.8495685039496813e-05,
51.0,3.4167458746109405e-05,3.4167458746109405e-05
52.0,3.4167458746109405e-05,
53.0,3.4167458746109405e-05,
54.0,3.4167458746109405e-05,
55.0,3.4167458746109405e-05,
56.0,-2.8185398349984745e-05,-2.8185398349984745e-05
57.0,-2.8185398349984745e-05,
58.0,-2.8185398349984745e-05,
