tick,tick_dt,input_force,output_angle,output_ang_vel,output_speed,output_position
32.0,0.010577345034107566,2.183901534536928e-05,3.7187314386226543e-07,1.3573281242063155e-06,8.965688263065485e-07,1.1026611872403562e-07
33.0,0.009805560926906765,2.183901534536928e-05,3.851825074819745e-07,3.6802644182911727e-06,1.214672205423312e-06,1.1905747897554977e-07
34.0,0.009731932077556849,2.183901534536928e-05,4.2099859082823347e-07,2.883201029926031e-06,9.90812416102442e-07,1.3087858637522561e-07
35.0,0.009626933024264872,2.183901534536928e-05,4.487549740388229e-07,1.994001475949543e-06,4.5790593078540654e-07,1.4041707114465388e-07
36.0,0.010499679949134588,2.183901534536928e-05,4.696913513543951e-07,1.9268620565713184e-06,4.2498347835174976e-07,1.4522493686471122e-07
37.0,0.00989129999652505,2.183901534536928e-05,4.887505220078632e-07,2.895022671549006e-06,7.566178561482413e-07,1.4942857594265508e-07
38.0,0.00963285902980715,2.183901534536928e-05,5.166378672909904e-07,2.5881765553767846e-06,6.837025452340039e-07,1.5671696909036598e-07
39.0,0.010673011071048677,2.183901534536928e-05,5.442615043203555e-07,2.8217154152637882e-06,7.688833225951389e-07,1.6401413392495265e-07
40.0,0.009987372905015945,2.183901534536928e-05,5.724430284044269e-07,3.817279410902736e-06,1.041097888453309e-06,1.7169325838815797e-07
41.0,0.009484527981840074,2.183901534536928e-05,6.086481217916359e-07,3.1325544384588487e-06,8.129410903121641e-07,1.81567580443028e-07
42.0,0.01101863500662148,2.183901534536928e-05,6.431645957873861e-07,3.045990628464032e-06,1.0684652127752978e-06,1.9052508159906265e-07
43.0,0.012005565105937421,2.183901534536928e-05,6.797334345894863e-07,5.598856104893179e-06,1.597603118391585e-06,2.0335261027446575e-07
44.0,0.006759161013178527,2.183901534536928e-05,7.175770044920768e-07,4.300090046253429e-06,1.1131690196462295e-06,2.141510669868306e-07
45.0,0.010721010039560497,2.183901534536928e-05,7.636783130489741e-07,-2.6746424453890036e-06,1.1320303107971613e-06,2.2608536322218555e-07
46.0,0.009664747980423272,2.183901534536928e-05,7.378285678765464e-07,-0.0771279831173636,-8.35896472471392e-05,2.3702615088224036e-07
47.0,0.009963780059479177,2.183901534536928e-05,-0.0007677484316447575,0.11688463210430458,0.00011610227521782659,-5.958427095377036e-07
48.0,0.009996630949899554,2.183901534536928e-05,0.00040070409921675665,0.00031065654495214903,0.0001205197522625123,5.647888882585778e-07
49.0,0.010629622964188457,2.183901534536928e-05,0.0004040062611609555,0.00023308923412454095,4.911921470045986e-05,1.8458684145464821e-06
50.0,0.009749006014317274,2.183901534536928e-05,0.00040627864950630826,0.0002113109537026958,9.69681958138303e-06,2.3247319340798066e-06
51.0,0.009438139968551695,2.183901534536928e-05,0.00040827303186424243,0.00026272798731168703,4.300819104249051e-06,2.4162518745386924e-06
52.0,0.010442383936606348,2.183901534536928e-05,0.00041101653837864293,0.0003294835454526666,3.2587473690173168e-06,2.4611626788671523e-06
53.0,0.009833412012085319,2.183901534536928e-05,0.00041425648583228163,0.00039813194838344234,4.904848081124678e-06,2.4932072843899984e-06
54.0,0.009843577980063856,2.183901534536928e-05,0.0004181755287125488,0.000460154000706782,2.6628568190781436e-06,2.541488538956916e-06
55.0,0.010584290022961795,2.183901534536928e-05,0.00042304593211125557,0.0005261300947510895,-4.2316188374555706e-08,2.5696729878196603e-06
56.0,0.009469843003898859,2.183901534536928e-05,0.0004280283015081748,0.0005975786321949411,2.886276965151364e-06,2.5692722601592298e-06
57.0,0.010913599980995059,2.183901534536928e-05,0.00043455003565714056,0.0006795254262515675,5.285559190697322e-06,2.600771932391252e-06
58.0,0.008778796996921301,2.183901534536928e-05,0.00044051545142844946,0.0007434626039645773,6.256824925645075e-06,2.6471727835415957e-06
59.0,0.010601455927826464,2.183901534536928e-05,0.00044839723745836705,0.0008238489211143593,8.25019013381502e-06,2.713504237238948e-06
60.0,0.010205036029219627,2.183901534536928e-05,0.0004568046453809728,0.0009017273695867867,9.30911406997764e-06,2.7976977248024427e-06
61.0,0.009829800925217569,2.183901534536928e-05,0.000465668445912831,0.0009570908989744772,4.839089249215934e-07,2.8892044629004647e-06
62.0,0.009996630949899554,2.183901534536928e-05,0.0004752361304153864,0.0010394601656916588,3.2511747994149225e-06,2.8940419218362685e-06
63.0,0.009628248051740229,2.183901534536928e-05,0.0004852443107305687,0.0011059123133600542,-6.517531106021716e-07,2.9253450392646023e-06
64.0,0.009968076017685235,2.183901534536928e-05,0.0004962681287390358,0.0011919690173131064,2.1293280915412223e-06,2.918848314713357e-06
65.0,0.010639289044775069,2.183901534536928e-05,0.0005089498316466465,0.0012744306949857764,4.0599241263824696e-08,2.9415028517504237e-06
66.0,0.009524583001621068,2.183901534536928e-05,0.0005210882525808521,0.00136393972635835,4.5834675868809915e-06,2.941889542593644e-06
67.0,0.009680542978458107,2.183901534536928e-05,0.0005342919297218905,0.0014499115942570857,5.508538668989221e-06,2.9862599975588153e-06
68.0,0.009867115062661469,2.183901534536928e-05,0.0005485983742531121,0.0015232302881542947,-6.857049797843521e-07,3.040613382432852e-06
69.0,0.010738695040345192,2.183901534536928e-05,0.0005649558797938182,0.0016246060238048106,9.796165668109113e-07,3.0332498057673015e-06
70.0,0.009743747068569064,2.183901534536928e-05,0.000580785629975846,0.0017256572386415822,5.667753216643247e-06,3.042794941818487e-06
71.0,0.010391885065473616,2.183901534536928e-05,0.000598718461662212,0.0018265051049998354,5.601930383117363e-06,3.1016935818253123e-06
72.0,0.009735357947647572,2.183901534536928e-05,0.000616500142652591,0.00191752674189007,3.2902031081232604e-06,3.1562303793027623e-06
73.0,0.00961837696377188,2.183901534536928e-05,0.000634943637694203,0.002016683633944764,3.3578058875487767e-06,3.187876793084066e-06
74.0,0.010709324036724865,2.183901534536928e-05,0.0006565409562096774,0.0021276471206147863,2.3291963890103236e-06,3.223836624386248e-06
75.0,0.009499305044300854,2.183901534536928e-05,0.0006767521252350256,0.00223810068708837,5.828346293070702e-06,3.245962371393541e-06
76.0,0.010419661994092166,2.183901534536928e-05,0.0007000723779032319,0.002358637238200406,6.83218676738892e-06,3.306691769751858e-06
77.0,0.00955700792837888,2.183901534536928e-05,0.0007226138926888828,0.0024672926261583325,6.036556050378625e-06,3.371987032855959e-06
78.0,0.01005187095142901,2.183901534536928e-05,0.0007474147997664387,0.002587581859665984,5.282626696112412e-06,3.432665715265433e-06
79.0,0.009585693012923002,2.183901534536928e-05,0.0007722185651190053,0.0026996738966915865,2.2869299827045855e-06,3.4833033530762384e-06
80.0,0.01068247389048338,2.183901534536928e-05,0.0008010577610332326,0.0028399274781185807,3.123804803358861e-06,3.507733422905844e-06
81.0,0.00987867102958262,2.183901534536928e-05,0.0008291124703374383,0.002978891518828638,6.75732738494646e-06,3.538592462918856e-06
82.0,0.010370940901339054,2.183901534536928e-05,0.0008600063782307102,0.0031202227506647298,5.2000129026223886e-06,3.608672305879136e-06
83.0,0.009434732026420534,2.183901534536928e-05,0.0008894448437459727,0.0032488833821841374,2.546844216740845e-06,3.6577330341493073e-06
