tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,-2.800633066966197e-05,-2.800633066966197e-05
17.0,-2.800633066966197e-05,
18.0,-2.800633066966197e-05,
19.0,-2.800633066966197e-05,
20.0,-2.800633066966197e-05,
21.0,-2.800633066966197e-05,
22.0,-2.800633066966197e-05,
23.0,1.4931103279636887e-05,1.4931103279636887e-05
24.0,1.4931103279636887e-05,
25.0,1.4931103279636887e-05,
26.0,0.00021094856003022502,0.00021094856003022502
27.0,0.00021094856003022502,
28.0,0.00021094856003022502,
29.0,0.00021094856003022502,
30.0,0.00021094856003022502,
31.0,0.00021094856003022502,
32.0,-6.297479651812493e-05,-6.297479651812493e-05
33.0,-6.297479651812493e-05,
34.0,-6.297479651812493e-05,
35.0,-6.297479651812493e-05,
36.0,1.7308289579720545e-05,1.7308289579720545e-05
37.0,1.7308289579720545e-05,
38.0,1.7308289579720545e-05,
39.0,1.7308289579720545e-05,
40.0,1.7308289579720545e-05,
41.0,1.7308289579720545e-05,
42.0,-3.7349962138157825e-05,-3.7349962138157825e-05
43.0,-3.7349962138157825e-05,
44.0,-3.7349962138157825e-05,
45.0,-3.7349962138157825e-05,
46.0,4.1976356335746343e-05,4.1976356335746343e-05
47.0,4.1976356335746343e-05,
48.0,4.1976356335746343e-05,
49.0,4.1976356335746343e-05,
50.0,4.1976356335746343e-05,
51.0,-1.981337637108096e-05,-1.981337637108096e-05
52.0,-1.981337637108096e-05,
53.0,-1.981337637108096e-05,
54.0,-1.981337637108096e-05,
55.0,-1.981337637108096e-05,
56.0,-2.6237305177375496e-05,-2.6237305177375496e-05
57.0,-2.6237305177375496e-05,
58.0,-2.6237305177375496e-05,
59.0,-2.6237305177375496e-05,
60.0,-2.6237305177375496e-05,
61.0,5.497853042500032e-06,5.497853042500032e-06
62.0,5.497853042500032e-06,
63.0,5.497853042500032e-06,
