tick,tick_dt,input_force,output_speed,output_angle,output_ang_vel,output_position
19.0,0.009515170007944107,0.0,-6.103719393850805e-08,8.491423025270515e-08,9.503223471428629e-08,-9.390477779490128e-09
20.0,0.010687105357646942,0.0,-5.301254380170453e-08,8.592984975746936e-08,-6.337867201380217e-08,-1.0042788701846093e-08
21.0,0.009634613990783691,0.0,-5.581526575735617e-08,8.531922071736789e-08,8.325431404030987e-07,-1.055354409804503e-08
22.0,0.010043185204267502,0.0,-5.451456721327531e-08,9.368060566697869e-08,-4.103218069842975e-07,-1.1114107149271568e-08
23.0,0.010657771490514278,0.0,-5.671470424907323e-08,8.930748961056514e-08,3.4489889453707234e-07,-1.1695110949534937e-08
24.0,0.009693908505141735,0.0,-5.4874682384625496e-08,9.265090793773205e-08,6.474757784104862e-07,-1.2244898103421626e-08
25.0,0.009585447609424591,0.0,-5.288541053065047e-08,9.885725309005717e-08,-2.88375474922195e-07,-1.2770896496503268e-08
26.0,0.010214868001639843,0.0,-4.928551654660692e-08,9.591153567881674e-08,1.4308877224673483e-07,-1.3311113984286396e-08
27.0,0.009534631855785847,0.0,-4.7876781013756244e-08,9.727583444488575e-08,4.872075649701444e-07,-1.3781033240380536e-08
28.0,0.010740957222878933,0.0,-4.518468992274114e-08,1.0250891005889308e-07,-6.131335390563704e-08,-1.4295275697218433e-08
29.0,0.009575539268553257,0.0,-4.841748172689351e-08,1.0192180163088295e-07,1.023185959248498e-06,-1.4727943469911044e-08
30.0,0.010603772476315498,0.0,-4.694679882648734e-08,1.1277143274371464e-07,-4.1974910802196275e-07,-1.5241351430019185e-08
31.0,0.009872964583337307,0.0,-5.191208791949693e-08,1.0862726466632637e-07,9.823837370025456e-07,-1.5704855512134157e-08
32.0,0.009678168222308159,0.0,-4.894739550321125e-08,1.1813493973189675e-07,9.685223342058015e-08,-1.62072694317903e-08
33.0,0.009646335616707802,0.0,-4.5047435516141984e-08,1.1906920888069939e-07,2.019263496888424e-07,-1.667943243637801e-08
34.0,0.01083686389029026,0.0,-4.049565270459258e-08,1.2125745724814053e-07,3.79028095827846e-07,-1.7167605363673068e-08
35.0,0.009528225287795067,0.0,-4.0499586469837297e-08,1.2486892233559222e-07,1.0670120904442672e-06,-1.7553457065818733e-08
36.0,0.010278663598001003,0.0,-3.782688411823987e-08,1.3583638066826866e-07,-3.907609859334216e-07,-1.7969738691000344e-08
37.0,0.00959157757461071,0.0,-4.1002315768196775e-08,1.3208836635855687e-07,8.737151109158786e-07,-1.833255818442625e-08
38.0,0.00970696471631527,0.0,-3.7222171317504635e-08,1.405694881123288e-07,2.2792028796933664e-07,-1.8730566216875356e-08
39.0,0.010734290815889835,0.0,-5.331952299992205e-07,1.43016050766233e-07,-6.538241866407899e-07,-1.9130119828596324e-08
40.0,0.009614984504878521,0.0,-4.828437403539307e-07,1.36729541342767e-07,4.451540696358141e-07,-2.4256783703113967e-08
41.0,0.010126294568181038,0.0,-4.798391495747864e-07,1.4123730258012383e-07,-8.425304851351235e-07,-2.914620164834019e-08
42.0,0.00971148256212473,0.0,-3.966649255857087e-07,1.3305508246567558e-07,5.938018450929764e-08,-3.380615118206049e-08
43.0,0.010493902489542961,0.0,-2.6278091771096967e-07,1.336782123317272e-07,8.004106102616279e-08,-3.7968714232178734e-08
44.0,0.009651373140513897,0.0,-2.7085177548638617e-07,1.3445071847825336e-07,6.089696003272817e-07,-4.050491092321398e-08
45.0,0.010407904163002968,0.0,-2.670089565086904e-07,1.4078881571664193e-07,-1.8459978617476986e-07,-4.332391024485548e-08
46.0,0.009170950390398502,0.0,-2.6670264922623546e-07,1.3909586023555495e-07,6.366948545440378e-07,-4.5772636138788756e-08
47.0,0.01055442076176405,0.0,-2.63540632037576e-07,1.4581580562726288e-07,-5.748440936587195e-07,-4.858752811699961e-08
48.0,0.009762613102793694,0.0,-2.711780761350356e-07,1.402038251464467e-07,1.3068427435886344e-06,-5.116037334444818e-08
49.0,0.009911167435348034,0.0,-2.6757807419264676e-07,1.5315616238982325e-07,5.908167103361212e-08,-5.384806466181807e-08
50.0,0.010688180103898048,0.0,-6.716551044800361e-07,1.5378763793066976e-07,-7.254125586166414e-07,-5.670798731064327e-08
51.0,0.009479114785790443,0.0,-6.263989992489587e-07,1.4691136902048867e-07,2.977929594828544e-07,-6.30746831424716e-08
52.0,0.00973461288958788,0.0,-6.229062905829895e-07,1.4981026820229898e-07,-9.008943231076485e-07,-6.917243491458547e-08
53.0,0.010609309189021587,0.0,-3.0978504185057676e-07,1.4025240178181562e-07,-1.0386658991195527e-07,-7.578104034716693e-08
54.0,0.009938574396073818,0.0,-3.3231764474552243e-07,1.3922011595070916e-07,1.018126613726423e-06,-7.885986203238973e-08
55.0,0.00956746470183134,0.0,-3.261791546794732e-07,1.489610063895318e-07,1.9714305584857814e-07,-8.203929936828824e-08
56.0,0.01024246122688055,0.0,-3.208042115884411e-07,1.509802364952096e-07,8.211448040245737e-08,-8.538017671310942e-08
57.0,0.009423132985830307,0.0,-3.196074428560292e-07,1.517540121641043e-07,7.445455278915945e-07,-8.840315746132174e-08
58.0,0.01071130856871605,0.0,-3.1505723919228114e-07,1.5972906905680875e-07,7.62010112761812e-09,-9.182657140261094e-08
59.0,0.009726538322865963,0.0,-3.1798122521409884e-07,1.5980318626245065e-07,1.347832094786532e-06,-9.489098771351102e-08
60.0,0.009635446593165398,0.0,-3.134327197681244e-07,1.7279015042832052e-07,9.508201819149895e-08,-9.795487882669076e-08
61.0,0.010522181168198586,0.0,-2.2028802040306612e-07,1.7379062064956942e-07,6.084517506490371e-07,-1.0125287468813218e-07
62.0,0.009679834358394146,0.0,-2.246495691798339e-07,1.7968033281092705e-07,1.1984856942406866e-06,-1.0338522623677241e-07
63.0,0.010489940643310547,0.0,-2.1880050116166758e-07,1.9225237660536868e-07,3.4922733290765967e-07,-1.0574178688301415e-07
64.0,0.010020016692578793,0.0,-2.1727903296175862e-07,1.957516403106082e-07,1.2850716341817928e-06,-1.0793417155699867e-07
65.0,0.00942983664572239,0.0,-1.1459745858094329e-07,2.0786965589899404e-07,9.737399426379934e-07,-1.0998307734436858e-07
66.0,0.010186998173594475,0.0,-9.947674367808088e-08,2.1778914291620328e-07,5.259928552318414e-07,-1.1115048144563122e-07
67.0,0.010453976690769196,0.0,-9.797857899948101e-08,2.2328785996430807e-07,1.5870673308257249e-06,-1.1219040900531549e-07
68.0,0.009652816690504551,0.0,-8.665353617568136e-08,2.3860752998425713e-07,1.3851174549818855e-06,-1.131361782679936e-07
69.0,0.009633040055632591,0.0,-7.850251665327054e-08,2.519504219098535e-07,8.459914674920163e-07,-1.1397091525293615e-07
70.0,0.010592587292194366,0.0,-4.8612319456638855e-08,2.609116603777143e-07,1.3160347766572875e-06,-1.1480246001324286e-07
71.0,0.00974874198436737,0.0,-4.361218416667245e-08,2.737413438578007e-07,1.8847927713502397e-06,-1.1527636897288726e-07
72.0,0.009814279153943062,0.0,-3.412814696221727e-08,2.9223922626316596e-07,1.0639975173363088e-06,-1.1570439112281216e-07
73.0,0.010516144335269928,0.0,-2.9670789483584936e-07,3.0342837772784345e-07,8.769518950529525e-07,-1.1606328764216214e-07
