tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-5.573836198874437e-08,0.0,7.1683531431644995e-06,,,,
3.0,-5.748354149645358e-10,3.4722157340505166e-09,7.392795745406737e-08,2.0425045881390298e-08,,,,
4.0,-5.402265662721103e-10,-1.4641616271155605e-09,7.41315413833471e-08,1.1076029802980252e-06,,,,
5.0,-5.547186433015914e-10,3.638370073442378e-07,8.509444835433746e-08,1.2576379517455493e-06,-5.547186433015914e-10,3.638370073442378e-07,8.509444835433746e-08,1.2576379517455493e-06
6.0,3.0051292184659313e-09,1.8351343809011778e-07,9.739940822105945e-08,4.2438266870425033e-07,,,,
7.0,4.787442199122297e-09,1.7964189678283164e-07,1.0152108316251927e-07,2.777189636098084e-07,,,,
8.0,6.5346955257838856e-09,1.4526990557072318e-07,1.042222647450699e-07,3.177467050629454e-07,,,,
9.0,7.98593040663295e-09,-5.725577062286309e-08,1.0739652922779658e-07,-3.0518338942007156e-08,,,,
10.0,7.375795624783442e-09,-3.3292745462925864e-07,1.070713165921054e-07,-9.991767588016331e-07,7.375795624783442e-09,-3.3292745462925864e-07,1.070713165921054e-07,-9.991767588016331e-07
11.0,4.311818992598374e-09,-2.9970331018052544e-07,9.787575702553317e-08,8.347632267201688e-08,,,,
12.0,1.0282581308172454e-09,-2.9938959132743656e-07,9.879032679069908e-08,-1.5121040583370533e-06,,,,
13.0,-4.646301526137001e-09,-3.34910690420673e-07,7.013026333120532e-08,2.253008647542203e-06,,,,
14.0,-8.161080071457992e-09,-3.327833945020049e-07,9.377485480977938e-08,2.583084175357667e-06,,,,
15.0,-1.1389010792802968e-08,-3.3547164072591067e-07,1.1883024189703032e-07,-4.448156881057828e-06,-1.1389010792802968e-08,-3.3547164072591067e-07,1.1883024189703032e-07,-4.448156881057828e-06
16.0,-1.711429159380288e-08,3.1311223395432253e-06,4.2916381828711735e-08,3.505478663915142e-06,,,,
17.0,2.4204662617826793e-08,5.744964608530567e-06,8.917542146281446e-08,1.469753358514028e-05,,,,
18.0,8.052274609557274e-08,3.923463127245119e-06,2.332558431482357e-07,8.216236105624471e-06,,,,
19.0,1.2250745002447456e-07,5.749701093514787e-06,3.211772098380788e-07,6.07458067662133e-06,,,,
20.0,1.77470234520246e-07,-7.653385728841213e-05,3.7924559690743473e-07,-0.07628140446380047,1.77470234520246e-07,-7.653385728841213e-05,3.7924559690743473e-07,-0.07628140446380047
21.0,-6.153900702621345e-07,0.00012636034102007769,-0.0007898657483863522,0.11965627632488338,,,,
22.0,6.177344652159515e-07,0.00012097404643893076,0.00037783520089103675,0.0002994530298472164,,,,
23.0,1.7986111202912372e-06,4.8404007852092883e-05,0.00038075828317725793,0.000209256669303655,,,,
24.0,2.3117342165691298e-06,1.6565493384159145e-08,0.0003829765794472278,0.00017100622471156863,,,,
25.0,2.311895759567306e-06,4.027909270512007e-06,0.0003846441940244733,0.0002398397559901643,2.311895759567306e-06,4.027909270512007e-06,0.0003846441940244733,0.0002398397559901643
26.0,2.3532672052385998e-06,4.020654659176311e-06,0.00038710763517182126,0.00030442887165756333,,,,
27.0,2.3921678548217022e-06,2.134344366504195e-06,0.00039005304627105655,0.00036068778983384676,,,,
28.0,2.412470807892411e-06,2.5490800836323988e-06,0.00039348408925788644,0.0004222957938014915,,,,
29.0,2.439699665800492e-06,2.2968886516219403e-06,0.0003979949840855671,0.0004902360197454573,,,,
30.0,2.461535678655062e-06,5.220513185932776e-06,0.0004026555495950775,0.0005576941001906609,2.461535678655062e-06,5.220513185932776e-06,0.0004026555495950775,0.0005576941001906609
31.0,2.517929708702582e-06,0.046168301406414675,0.00040867997989978844,0.07650992679859905,,,,
32.0,0.0004470203791314288,0.08716678792941585,0.001145307683998201,0.14408433637862597,,,,
33.0,0.0012830951808042075,0.12806237057874942,0.0025273166558036275,0.21169809988046526,,,,
34.0,0.002518448837970015,0.16926786533400953,0.0045694623752721535,0.28014294261023537,,,,
35.0,0.004295408496490005,0.2142286981068693,0.0075103791680442185,0.3553180438117471,0.004295408496490005,0.2142286981068693,0.0075103791680442185,0.3553180438117471
36.0,0.006517636412303113,0.25880079995379307,0.011196149015539971,0.4304517864151631,,,,
37.0,0.009006288976128273,0.30026983527296874,0.015335413430705916,0.500983056450667,,,,
38.0,0.011890425496140982,0.3418636943637487,0.02014743035442863,0.572453548597018,,,,
39.0,0.015514986741498859,0.388011913360795,0.026216787765644758,0.6527548363545783,,,,
