tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,-1.8731869664819495e-05,-1.8731869664819495e-05
15.0,-1.8731869664819495e-05,
16.0,-1.0333455746572355e-05,-1.0333455746572355e-05
17.0,-1.0333455746572355e-05,
18.0,-1.0333455746572355e-05,
19.0,-1.0333455746572355e-05,
20.0,-1.0333455746572355e-05,
21.0,-1.0333455746572355e-05,
22.0,-1.0333455746572355e-05,
23.0,-1.0333455746572355e-05,
24.0,-3.346695332827411e-05,-3.346695332827411e-05
25.0,-3.346695332827411e-05,
26.0,-3.153059048657372e-05,-3.153059048657372e-05
27.0,-3.153059048657372e-05,
28.0,-3.153059048657372e-05,
29.0,-3.153059048657372e-05,
30.0,-3.153059048657372e-05,
31.0,-3.153059048657372e-05,
32.0,-3.153059048657372e-05,
33.0,-3.153059048657372e-05,
34.0,-2.5166242026228028e-05,-2.5166242026228028e-05
35.0,-2.5166242026228028e-05,
36.0,-1.0298387412672836e-05,-1.0298387412672836e-05
37.0,-1.0298387412672836e-05,
38.0,-1.0298387412672836e-05,
39.0,-1.0298387412672836e-05,
40.0,-1.0298387412672836e-05,
41.0,-1.0298387412672836e-05,
42.0,-1.0298387412672836e-05,
43.0,-1.0298387412672836e-05,
44.0,-1.0298387412672836e-05,
45.0,-1.7063406371504212e-05,-1.7063406371504212e-05
46.0,4.589037096813515e-06,4.589037096813515e-06
47.0,4.589037096813515e-06,
48.0,4.589037096813515e-06,
49.0,4.589037096813515e-06,
50.0,4.589037096813515e-06,
51.0,4.589037096813515e-06,
52.0,4.589037096813515e-06,
53.0,4.589037096813515e-06,
54.0,4.589037096813515e-06,
55.0,1.70075174611365e-05,1.70075174611365e-05
56.0,1.1043664250641764e-05,1.1043664250641764e-05
57.0,1.1043664250641764e-05,
58.0,1.1043664250641764e-05,
59.0,1.1043664250641764e-05,
60.0,1.1043664250641764e-05,
61.0,1.1043664250641764e-05,
