seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
1.0,1639088811.7412887,122.0,1639088811.8331215,72.0,0.09183287620544434
0.0,1639088811.6910272,122.0,1639088811.8349748,72.0,0.14394760131835938
3.0,1639088811.8407688,122.0,1639088811.8439367,72.0,0.003167867660522461
9.0,1639088812.1408703,122.0,1639088812.4733994,72.0,0.33252906799316406
8.0,1639088812.0910065,122.0,1639088812.4751916,72.0,0.3841850757598877
7.0,1639088812.041486,122.0,1639088812.4774525,72.0,0.43596649169921875
6.0,1639088811.9913368,122.0,1639088812.4795117,72.0,0.4881749153137207
4.0,1639088811.8910403,122.0,1639088812.4810543,72.0,0.5900139808654785
12.0,1639088812.2906535,122.0,1639088812.4825785,72.0,0.191925048828125
13.0,1639088812.3411384,122.0,1639088812.4840841,72.0,0.1429457664489746
14.0,1639088812.3907971,122.0,1639088812.4855359,72.0,0.09473872184753418
15.0,1639088812.4415104,122.0,1639088812.487181,72.0,0.045670509338378906
16.0,1639088812.501334,122.0,1639088812.5063314,72.0,0.0049974918365478516
17.0,1639088812.5513346,122.0,1639088812.5561213,72.0,0.00478672981262207
18.0,1639088812.6010668,122.0,1639088812.6059613,72.0,0.0048944950103759766
19.0,1639088812.6512916,122.0,1639088812.6559107,72.0,0.004619121551513672
20.0,1639088812.7006054,122.0,1639088812.7053885,72.0,0.004783153533935547
21.0,1639088812.750808,122.0,1639088812.755715,72.0,0.004906892776489258
22.0,1639088812.8007445,122.0,1639088812.8052886,72.0,0.00454401969909668
23.0,1639088812.8511646,122.0,1639088812.855899,72.0,0.004734516143798828
24.0,1639088812.90067,122.0,1639088812.9054217,72.0,0.004751682281494141
25.0,1639088812.951164,122.0,1639088812.9559188,72.0,0.004754781723022461
26.0,1639088813.0006,122.0,1639088813.0050435,72.0,0.00444340705871582
27.0,1639088813.0507162,122.0,1639088813.057152,72.0,0.006435871124267578
28.0,1639088813.1010277,122.0,1639088813.104696,72.0,0.0036683082580566406
