seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1639153861.0710366,122.0,1639153861.1825671,72.0,0.11153054237365723
9.0,1639153861.5207317,122.0,1639153863.295498,72.0,1.774766206741333
8.0,1639153861.470955,122.0,1639153863.2974818,72.0,1.8265268802642822
18.0,1639153861.9709244,122.0,1639153863.2996676,72.0,1.3287432193756104
15.0,1639153861.8207395,122.0,1639153863.306428,72.0,1.4856884479522705
12.0,1639153861.671014,122.0,1639153863.3248475,72.0,1.6538333892822266
31.0,1639153862.6209795,122.0,1639153863.3271894,72.0,0.7062098979949951
29.0,1639153862.5201921,122.0,1639153863.329334,72.0,0.8091418743133545
28.0,1639153862.470336,122.0,1639153863.3312645,72.0,0.8609285354614258
36.0,1639153862.8704455,122.0,1639153863.332817,72.0,0.4623715877532959
43.0,1639153863.2206178,122.0,1639153863.334335,72.0,0.11371731758117676
42.0,1639153863.1705406,122.0,1639153863.336191,72.0,0.1656503677368164
41.0,1639153863.1208348,122.0,1639153863.3379302,72.0,0.21709537506103516
39.0,1639153863.0211072,122.0,1639153863.339529,72.0,0.3184218406677246
38.0,1639153862.9700408,122.0,1639153863.341072,72.0,0.3710312843322754
37.0,1639153862.9203668,122.0,1639153863.3426878,72.0,0.422321081161499
45.0,1639153863.321768,122.0,1639153863.3442032,72.0,0.02243518829345703
46.0,1639153863.3907967,122.0,1639153863.3957655,72.0,0.004968881607055664
47.0,1639153863.4413297,122.0,1639153863.4460444,72.0,0.0047147274017333984
48.0,1639153863.490671,122.0,1639153863.4957197,72.0,0.0050487518310546875
49.0,1639153863.5408916,122.0,1639153863.5456145,72.0,0.0047228336334228516
1.0,1639153861.1209562,122.0,,,inf
2.0,1639153861.1709757,122.0,,,inf
3.0,1639153861.2208464,122.0,,,inf
4.0,1639153861.2702925,122.0,,,inf
5.0,1639153861.320856,122.0,,,inf
6.0,1639153861.3700209,122.0,,,inf
7.0,1639153861.420765,122.0,,,inf
10.0,1639153861.5709448,122.0,,,inf
11.0,1639153861.6208997,122.0,,,inf
13.0,1639153861.720484,122.0,,,inf
14.0,1639153861.770428,122.0,,,inf
16.0,1639153861.8707805,122.0,,,inf
17.0,1639153861.9206522,122.0,,,inf
19.0,1639153862.0201018,122.0,,,inf
20.0,1639153862.07045,122.0,,,inf
21.0,1639153862.1205268,122.0,,,inf
22.0,1639153862.1712549,122.0,,,inf
23.0,1639153862.2209973,122.0,,,inf
24.0,1639153862.2709792,122.0,,,inf
25.0,1639153862.3205712,122.0,,,inf
26.0,1639153862.3704276,122.0,,,inf
27.0,1639153862.4207017,122.0,,,inf
30.0,1639153862.57074,122.0,,,inf
32.0,1639153862.670116,122.0,,,inf
33.0,1639153862.720514,122.0,,,inf
34.0,1639153862.7709575,122.0,,,inf
35.0,1639153862.8207743,122.0,,,inf
40.0,1639153863.0700202,122.0,,,inf
44.0,1639153863.270136,122.0,,,inf
