tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-9.09430188307741e-08,0.0,1.1695924523503509e-05,,,,
3.0,-9.242519919514736e-10,4.971314394826938e-09,1.1886543549513479e-07,3.103046093200765e-08,,,,
4.0,-8.764418376137471e-10,8.845248237413889e-10,1.1916386182839463e-07,-3.2668983168027834e-06,,,,
5.0,-8.668771654584728e-10,6.492667885841512e-09,8.383776297153313e-08,-7.033193806736899e-07,-8.668771654584728e-10,6.492667885841512e-09,8.383776297153313e-08,-7.033193806736899e-07
6.0,-8.017584789747621e-10,-3.552317263132246e-09,7.678376990531124e-08,8.207249126230306e-07,,,,
7.0,-8.365011329454414e-10,-1.7933950021354181e-09,8.481068854242522e-08,-2.1350072530590175e-07,,,,
8.0,-8.536047464664812e-10,7.266792578963985e-10,8.277453148402718e-08,-1.3400867261924304e-07,,,,
9.0,-8.458260534267868e-10,3.4179331375300295e-09,8.134004396063262e-08,-1.3336165708272261e-07,,,,
10.0,-8.133246025498452e-10,1.4723161062854193e-10,8.007189529530387e-08,7.689208841423836e-07,-8.133246025498452e-10,1.4723161062854193e-10,8.007189529530387e-08,7.689208841423836e-07
11.0,-8.118009903527762e-10,8.499359251808705e-10,8.802899929395624e-08,-6.288777687853529e-07,,,,
12.0,-8.035992174963789e-10,-4.148094348963391e-09,8.196040934358112e-08,6.179390356507214e-07,,,,
13.0,-8.435645797128601e-10,-2.2893502529082734e-09,8.791402450029899e-08,-1.1166295278162247e-07,,,,
14.0,-8.67690546965865e-10,8.825001907382269e-10,8.673728156253272e-08,1.589102949297833e-07,,,,
15.0,-8.591171379077478e-10,1.096913901497453e-09,8.828108061920988e-08,6.290989600839748e-07,-8.591171379077478e-10,1.096913901497453e-09,8.828108061920988e-08,6.290989600839748e-07
16.0,-8.479152326187591e-10,3.0791613340638013e-09,9.470556567554985e-08,-2.0841857814255103e-07,,,,
17.0,-8.177615170051508e-10,2.995483242195938e-09,9.266455715015088e-08,3.9203443753788064e-07,,,,
