tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,-5.7026011338479505e-05,-5.7026011338479505e-05
8.0,-5.7026011338479505e-05,
9.0,-5.7026011338479505e-05,
10.0,-5.7026011338479505e-05,
11.0,1.7853102794765748e-05,1.7853102794765748e-05
12.0,1.7853102794765748e-05,
13.0,1.7853102794765748e-05,
14.0,1.7853102794765748e-05,
15.0,1.7853102794765748e-05,
16.0,-3.9420005892583295e-05,-3.9420005892583295e-05
17.0,-3.9420005892583295e-05,
18.0,-3.9420005892583295e-05,
19.0,-3.9420005892583295e-05,
20.0,-3.9420005892583295e-05,
21.0,4.8108808630468027e-05,4.8108808630468027e-05
22.0,4.8108808630468027e-05,
23.0,4.8108808630468027e-05,
24.0,4.8108808630468027e-05,
25.0,4.8108808630468027e-05,
26.0,-5.633619381692526e-05,-5.633619381692526e-05
27.0,-5.633619381692526e-05,
28.0,-5.633619381692526e-05,
29.0,-5.633619381692526e-05,
30.0,-5.633619381692526e-05,
31.0,4.9435265556150613e-05,4.9435265556150613e-05
32.0,4.9435265556150613e-05,
33.0,4.9435265556150613e-05,
34.0,4.9435265556150613e-05,
35.0,4.9435265556150613e-05,
36.0,1.952845331725318e-05,1.952845331725318e-05
37.0,1.952845331725318e-05,
38.0,1.952845331725318e-05,
39.0,1.952845331725318e-05,
40.0,1.952845331725318e-05,
41.0,-3.6831069967509895e-06,-3.6831069967509895e-06
42.0,-3.6831069967509895e-06,
43.0,-3.6831069967509895e-06,
44.0,-3.6831069967509895e-06,
45.0,-3.6831069967509895e-06,
46.0,-6.586078876427961e-06,-6.586078876427961e-06
47.0,-6.586078876427961e-06,
48.0,-6.586078876427961e-06,
49.0,-6.586078876427961e-06,
50.0,-6.586078876427961e-06,
51.0,-1.3615573056067239e-05,-1.3615573056067239e-05
52.0,-1.3615573056067239e-05,
53.0,-1.3615573056067239e-05,
54.0,-1.3615573056067239e-05,
55.0,-1.3615573056067239e-05,
56.0,-1.80590478791493e-05,-1.80590478791493e-05
57.0,-1.80590478791493e-05,
