tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,0.0,
10.0,0.0,
11.0,0.0,
12.0,0.0,
13.0,0.0,
14.0,0.0,
15.0,0.0,
16.0,0.0,
17.0,0.0,
18.0,0.0,
19.0,0.0,
20.0,0.0,
21.0,0.0,
22.0,0.0,
23.0,0.0,
24.0,0.0,
25.0,0.0,
26.0,0.0,
27.0,0.0,
28.0,0.0,
29.0,0.0,
30.0,0.0,
31.0,0.0,
32.0,0.0,
33.0,0.0,
34.0,0.0,
35.0,0.0,
36.0,0.0,
37.0,0.0,
38.0,0.0,
39.0,0.0,
40.0,0.0,
41.0,0.0,
42.0,0.0,
43.0,0.0,
44.0,0.0,
45.0,0.0,
46.0,0.0,
47.0,-4.531204952775134e-05,-4.531204952775134e-05
48.0,-4.531204952775134e-05,
49.0,-4.531204952775134e-05,
50.0,-4.531204952775134e-05,
51.0,-4.531204952775134e-05,
52.0,-5.762323737098937e-05,-5.762323737098937e-05
53.0,-5.762323737098937e-05,
54.0,-5.762323737098937e-05,
55.0,-5.762323737098937e-05,
56.0,-5.762323737098937e-05,
57.0,-5.762323737098937e-05,
58.0,-5.762323737098937e-05,
59.0,-5.762323737098937e-05,
60.0,-5.762323737098937e-05,
61.0,-5.762323737098937e-05,
62.0,-5.762323737098937e-05,
63.0,-5.762323737098937e-05,
64.0,-5.762323737098937e-05,
65.0,-5.762323737098937e-05,
66.0,-5.762323737098937e-05,
67.0,-6.840586373661356e-05,-6.840586373661356e-05
68.0,-6.840586373661356e-05,
69.0,-6.840586373661356e-05,
70.0,-6.840586373661356e-05,
71.0,-6.840586373661356e-05,
72.0,-2.3913362234910345,-2.3913362234910345
73.0,-2.3913362234910345,
74.0,-2.3913362234910345,
75.0,-2.3913362234910345,
76.0,2.6575810365681765,2.6575810365681765
77.0,2.6575810365681765,
78.0,2.6575810365681765,
79.0,2.6575810365681765,
80.0,2.6575810365681765,
81.0,2.6575810365681765,
82.0,2.6575810365681765,
83.0,2.6575810365681765,
84.0,2.6575810365681765,
85.0,2.6575810365681765,
86.0,2.6575810365681765,
87.0,2.6575810365681765,
88.0,2.6575810365681765,
89.0,2.6575810365681765,
90.0,2.6575810365681765,
91.0,2.6575810365681765,
92.0,2.6575810365681765,
93.0,2.6575810365681765,
94.0,2.6575810365681765,
95.0,2.6575810365681765,
96.0,2.6575810365681765,
97.0,2.6575810365681765,
98.0,2.6575810365681765,
99.0,2.6575810365681765,
100.0,2.6575810365681765,
101.0,2.6575810365681765,
102.0,2.6575810365681765,
103.0,2.6575810365681765,
104.0,2.6575810365681765,
105.0,2.6575810365681765,
106.0,2.6575810365681765,
107.0,2.6575810365681765,
108.0,-3.4163141486189446,-3.4163141486189446
109.0,-9.769366393095687,-9.769366393095687
110.0,-9.769366393095687,
111.0,0.0,0.0
112.0,0.0,
113.0,0.0,
114.0,0.0,
115.0,0.0,
116.0,0.0,0.0
117.0,0.0,
118.0,0.0,
119.0,0.0,
120.0,0.0,
121.0,0.0,0.0
122.0,0.0,
123.0,0.0,
124.0,0.0,
125.0,0.0,
126.0,0.0,
127.0,0.0,
128.0,0.0,
