seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1639124323.119276,122.0,1639124323.1612036,72.0,0.04192757606506348
1.0,1639124323.168506,122.0,1639124323.1734686,72.0,0.0049626827239990234
2.0,1639124323.2185347,122.0,1639124323.3106196,72.0,0.09208488464355469
3.0,1639124323.2689352,122.0,1639124323.7906837,72.0,0.5217485427856445
4.0,1639124323.318601,122.0,1639124323.7922726,72.0,0.47367167472839355
10.0,1639124323.619132,122.0,1639124323.7937567,72.0,0.17462468147277832
11.0,1639124323.6690397,122.0,1639124323.7953024,72.0,0.12626266479492188
12.0,1639124323.7182174,122.0,1639124323.7967699,72.0,0.0785524845123291
13.0,1639124323.7688522,122.0,1639124323.7982128,72.0,0.029360532760620117
14.0,1639124323.8190231,122.0,1639124323.8712745,72.0,0.052251338958740234
15.0,1639124323.868829,122.0,1639124323.8799052,72.0,0.011076211929321289
16.0,1639124323.9183679,122.0,1639124324.0219276,72.0,0.10355973243713379
17.0,1639124323.9689748,122.0,1639124324.2303393,72.0,0.2613644599914551
18.0,1639124324.0186882,122.0,1639124324.2319667,72.0,0.21327853202819824
20.0,1639124324.1180913,122.0,1639124324.2334366,72.0,0.11534523963928223
21.0,1639124324.1684093,122.0,1639124324.2349536,72.0,0.0665442943572998
22.0,1639124324.2183435,122.0,1639124324.2410479,72.0,0.022704362869262695
23.0,1639124324.268838,122.0,1639124324.2734818,72.0,0.004643917083740234
24.0,1639124324.3182397,122.0,1639124324.341201,72.0,0.02296137809753418
25.0,1639124324.3689444,122.0,1639124324.3735003,72.0,0.004555940628051758
26.0,1639124324.4189782,122.0,1639124324.4230616,72.0,0.004083395004272461
27.0,1639124324.4683466,122.0,1639124324.4729729,72.0,0.004626274108886719
28.0,1639124324.518704,122.0,1639124324.6006215,72.0,0.08191752433776855
29.0,1639124324.568191,122.0,1639124324.6021903,72.0,0.03399920463562012
30.0,1639124324.6187882,122.0,1639124324.623165,72.0,0.004376649856567383
31.0,1639124324.6685288,122.0,1639124324.672081,72.0,0.0035521984100341797
32.0,1639124324.7180624,122.0,1639124324.7227948,72.0,0.004732370376586914
33.0,1639124324.7687573,122.0,1639124324.7829986,72.0,0.014241218566894531
34.0,1639124324.81857,122.0,1639124324.8233876,72.0,0.0048177242279052734
35.0,1639124324.8684556,122.0,1639124324.8730774,72.0,0.004621744155883789
36.0,1639124324.9181356,122.0,1639124324.9229267,72.0,0.0047910213470458984
37.0,1639124324.9690816,122.0,1639124324.9736707,72.0,0.004589080810546875
38.0,1639124325.0188534,122.0,1639124325.0234206,72.0,0.004567146301269531
39.0,1639124325.0687902,122.0,1639124325.0733938,72.0,0.00460362434387207
40.0,1639124325.1188705,122.0,1639124325.1238747,72.0,0.005004167556762695
41.0,1639124325.168989,122.0,1639124325.1736286,72.0,0.004639625549316406
42.0,1639124325.2190087,122.0,1639124325.2241504,72.0,0.005141735076904297
43.0,1639124325.2690613,122.0,1639124325.2735946,72.0,0.004533290863037109
44.0,1639124325.3191977,122.0,1639124325.3238053,72.0,0.004607677459716797
45.0,1639124325.3686135,122.0,1639124325.3732736,72.0,0.004660129547119141
46.0,1639124325.4191747,122.0,1639124325.42394,72.0,0.00476527214050293
47.0,1639124325.4684145,122.0,1639124325.4729908,72.0,0.004576206207275391
48.0,1639124325.518839,122.0,1639124325.5236175,72.0,0.004778623580932617
49.0,1639124325.5688293,122.0,1639124325.5733845,72.0,0.004555225372314453
50.0,1639124325.6186614,122.0,1639124325.623256,72.0,0.004594564437866211
51.0,1639124325.6684341,122.0,1639124325.6729877,72.0,0.004553556442260742
52.0,1639124325.718151,122.0,1639124325.723176,72.0,0.005024909973144531
53.0,1639124325.768736,122.0,1639124325.7733893,72.0,0.004653453826904297
54.0,1639124325.8182042,122.0,1639124325.822833,72.0,0.004628896713256836
55.0,1639124325.8689697,122.0,1639124325.8735433,72.0,0.0045735836029052734
56.0,1639124325.9191887,122.0,1639124325.9237607,72.0,0.0045719146728515625
57.0,1639124325.9681177,122.0,1639124325.9727292,72.0,0.004611492156982422
58.0,1639124326.0190048,122.0,1639124326.0236268,72.0,0.004621982574462891
59.0,1639124326.0684824,122.0,1639124326.0733175,72.0,0.0048351287841796875
60.0,1639124326.118152,122.0,1639124326.1232033,72.0,0.005051374435424805
61.0,1639124326.168127,122.0,1639124326.1727002,72.0,0.00457310676574707
62.0,1639124326.2182167,122.0,1639124326.2228239,72.0,0.004607200622558594
63.0,1639124326.2685685,122.0,1639124326.2731442,72.0,0.0045757293701171875
64.0,1639124326.3188126,122.0,1639124326.330638,72.0,0.011825323104858398
65.0,1639124326.368099,122.0,1639124326.3725262,72.0,0.004427194595336914
66.0,1639124326.417858,122.0,1639124326.4225092,72.0,0.004651308059692383
67.0,1639124326.4684548,122.0,1639124326.473041,72.0,0.004586219787597656
68.0,1639124326.5184593,122.0,1639124326.5231483,72.0,0.00468897819519043
69.0,1639124326.568021,122.0,1639124326.572649,72.0,0.00462794303894043
70.0,1639124326.6180103,122.0,1639124326.622899,72.0,0.004888772964477539
71.0,1639124326.6682968,122.0,1639124326.6728482,72.0,0.004551410675048828
72.0,1639124326.7181976,122.0,1639124326.7229064,72.0,0.004708766937255859
73.0,1639124326.768474,122.0,1639124326.7732148,72.0,0.004740715026855469
