tick,tick_dt,input_force,output_position,output_ang_vel,output_angle,output_speed
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.008929435978643596,0.0,0.0,7.1683531431644995e-06,0.0,-5.573836198874437e-08
3.0,0.010313102044165134,0.0,-5.748354149645358e-10,2.0425045881390298e-08,7.392795745406737e-08,3.4722157340505166e-09
4.0,0.009967367048375309,0.0,-5.402265662721103e-10,1.1076029802980252e-06,7.41315413833471e-08,-1.4641616271155605e-09
5.0,0.009897866984829307,0.0,-5.547186433015914e-10,1.2576379517455493e-06,8.509444835433746e-08,3.638370073442378e-07
6.0,0.009784182999283075,0.0,3.0051292184659313e-09,4.2438266870425033e-07,9.739940822105945e-08,1.8351343809011778e-07
7.0,0.009712166036479175,0.0,4.787442199122297e-09,2.777189636098084e-07,1.0152108316251927e-07,1.7964189678283164e-07
8.0,0.009726313059218228,0.0,6.5346955257838856e-09,3.177467050629454e-07,1.042222647450699e-07,1.4526990557072318e-07
9.0,0.009989921003580093,0.0,7.98593040663295e-09,-3.0518338942007156e-08,1.0739652922779658e-07,-5.725577062286309e-08
10.0,0.010656301979906857,0.0,7.375795624783442e-09,-9.991767588016331e-07,1.070713165921054e-07,-3.3292745462925864e-07
11.0,0.009203135967254639,0.0,4.311818992598374e-09,8.347632267201688e-08,9.787575702553317e-08,-2.9970331018052544e-07
12.0,0.01095603802241385,0.0,1.0282581308172454e-09,-1.5121040583370533e-06,9.879032679069908e-08,-2.9938959132743656e-07
13.0,0.018953763996250927,0.0,-4.646301526137001e-09,2.253008647542203e-06,7.013026333120532e-08,-3.34910690420673e-07
14.0,0.01049467409029603,0.0,-8.161080071457992e-09,2.583084175357667e-06,9.377485480977938e-08,-3.327833945020049e-07
15.0,0.009699795045889914,0.0,-1.1389010792802968e-08,-4.448156881057828e-06,1.1883024189703032e-07,-3.3547164072591067e-07
16.0,0.01706636301241815,0.00010197929163470897,-1.711429159380288e-08,3.505478663915142e-06,4.2916381828711735e-08,3.1311223395432253e-06
17.0,0.013196212006732821,0.00010197929163470897,2.4204662617826793e-08,1.469753358514028e-05,8.917542146281446e-08,5.744964608530567e-06
18.0,0.009803034015931189,0.00010197929163470897,8.052274609557274e-08,8.216236105624471e-06,2.332558431482357e-07,3.923463127245119e-06
19.0,0.010700929909944534,0.00010197929163470897,1.2250745002447456e-07,6.07458067662133e-06,3.211772098380788e-07,5.749701093514787e-06
