seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
1.0,1639265949.9109466,122.0,1639265949.9631612,72.0,0.052214622497558594
0.0,1639265949.8609104,122.0,1639265949.9649985,72.0,0.10408806800842285
2.0,1639265949.960813,122.0,1639265949.9665196,72.0,0.0057065486907958984
9.0,1639265950.3103561,122.0,1639265950.4183939,72.0,0.10803771018981934
6.0,1639265950.16022,122.0,1639265950.4203193,72.0,0.2600994110107422
5.0,1639265950.1103656,122.0,1639265950.4219797,72.0,0.3116140365600586
3.0,1639265950.010749,122.0,1639265950.4244578,72.0,0.4137086868286133
11.0,1639265950.4153702,122.0,1639265950.4270046,72.0,0.011634349822998047
12.0,1639265950.4703512,122.0,1639265950.4750807,72.0,0.004729509353637695
13.0,1639265950.5206983,122.0,1639265950.5251193,72.0,0.0044209957122802734
14.0,1639265950.5701776,122.0,1639265950.5748134,72.0,0.004635810852050781
15.0,1639265950.6204293,122.0,1639265950.6249337,72.0,0.00450444221496582
16.0,1639265950.6701238,122.0,1639265950.6749232,72.0,0.004799365997314453
17.0,1639265950.7209973,122.0,1639265950.7261233,72.0,0.005125999450683594
18.0,1639265950.7699528,122.0,1639265950.7744217,72.0,0.0044689178466796875
19.0,1639265950.8209739,122.0,1639265950.8257291,72.0,0.004755258560180664
20.0,1639265950.8700178,122.0,1639265950.87472,72.0,0.004702329635620117
21.0,1639265950.9202154,122.0,1639265950.924717,72.0,0.0045015811920166016
22.0,1639265950.970584,122.0,1639265950.9754024,72.0,0.004818439483642578
23.0,1639265951.0202198,122.0,1639265951.02508,72.0,0.0048601627349853516
24.0,1639265951.0702028,122.0,1639265951.0751746,72.0,0.004971742630004883
25.0,1639265951.120686,122.0,1639265951.1255212,72.0,0.0048351287841796875
26.0,1639265951.1702166,122.0,1639265951.1747966,72.0,0.004580020904541016
27.0,1639265951.2209282,122.0,1639265951.2257488,72.0,0.004820585250854492
28.0,1639265951.2708442,122.0,1639265951.2754972,72.0,0.004652976989746094
29.0,1639265951.3208818,122.0,1639265951.3255143,72.0,0.004632472991943359
30.0,1639265951.3700547,122.0,1639265951.3747573,72.0,0.004702568054199219
31.0,1639265951.4202654,122.0,1639265951.4252365,72.0,0.004971027374267578
32.0,1639265951.4699159,122.0,1639265951.4742832,72.0,0.004367351531982422
33.0,1639265951.520783,122.0,1639265951.525255,72.0,0.004472017288208008
34.0,1639265951.5708625,122.0,1639265951.5753355,72.0,0.004472970962524414
35.0,1639265951.620499,122.0,1639265951.6253936,72.0,0.004894733428955078
36.0,1639265951.6700172,122.0,1639265951.6743956,72.0,0.004378318786621094
37.0,1639265951.7202196,122.0,1639265951.7245684,72.0,0.0043487548828125
38.0,1639265951.770169,122.0,1639265951.774668,72.0,0.004498958587646484
39.0,1639265951.8206837,122.0,1639265951.8255885,72.0,0.004904747009277344
40.0,1639265951.8706386,122.0,1639265951.8752365,72.0,0.004597902297973633
41.0,1639265951.9209497,122.0,1639265951.925737,72.0,0.0047872066497802734
42.0,1639265951.9701104,122.0,1639265951.9748545,72.0,0.004744052886962891
43.0,1639265952.0206196,122.0,1639265952.0254405,72.0,0.004820823669433594
44.0,1639265952.0700834,122.0,1639265952.0749567,72.0,0.0048732757568359375
45.0,1639265952.1204453,122.0,1639265952.1256995,72.0,0.005254268646240234
46.0,1639265952.1701562,122.0,1639265952.1750526,72.0,0.004896402359008789
47.0,1639265952.2201571,122.0,1639265952.2250085,72.0,0.004851341247558594
48.0,1639265952.269936,122.0,1639265952.274869,72.0,0.004932880401611328
49.0,1639265952.3206637,122.0,1639265952.3255894,72.0,0.004925727844238281
50.0,1639265952.3700256,122.0,1639265952.3748991,72.0,0.004873514175415039
51.0,1639265952.4206161,122.0,1639265952.4253469,72.0,0.004730701446533203
52.0,1639265952.470313,122.0,1639265952.4751759,72.0,0.004862785339355469
53.0,1639265952.520448,122.0,1639265952.5254776,72.0,0.0050296783447265625
54.0,1639265952.5700734,122.0,1639265952.5749779,72.0,0.004904508590698242
55.0,1639265952.6302335,122.0,1639265952.634767,72.0,0.004533529281616211
