seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
7.0,1639088812.4448366,122.0,0.001720428466796875,1639088812.446557,72.0
6.0,1639088812.4451342,122.0,0.0023958683013916016,1639088812.44753,72.0
5.0,1639088812.4452982,122.0,0.002760648727416992,1639088812.4480588,72.0
4.0,1639088812.4455764,122.0,0.002998828887939453,1639088812.4485753,72.0
3.0,1639088812.4457963,122.0,0.0032892227172851562,1639088812.4490855,72.0
2.0,1639088812.446031,122.0,0.003566741943359375,1639088812.4495978,72.0
0.0,1639088812.4464037,122.0,0.0055043697357177734,1639088812.451908,72.0
10.0,1639088812.4501474,122.0,0.002293109893798828,1639088812.4524405,72.0
9.0,1639088812.4503434,122.0,0.002603769302368164,1639088812.4529471,72.0
17.0,1639088812.4504967,122.0,0.0029659271240234375,1639088812.4534626,72.0
16.0,1639088812.4506817,122.0,0.0032799243927001953,1639088812.4539616,72.0
15.0,1639088812.450821,122.0,0.0036444664001464844,1639088812.4544654,72.0
14.0,1639088812.451042,122.0,0.0039215087890625,1639088812.4549634,72.0
13.0,1639088812.451207,122.0,0.004255771636962891,1639088812.4554627,72.0
12.0,1639088812.4513988,122.0,0.0045735836029052734,1639088812.4559724,72.0
11.0,1639088812.451558,122.0,0.004925727844238281,1639088812.4564838,72.0
8.0,1639088812.4517272,122.0,0.0053060054779052734,1639088812.4570332,72.0
22.0,1639088812.4625874,122.0,0.0011036396026611328,1639088812.463691,72.0
21.0,1639088812.4628577,122.0,0.0014607906341552734,1639088812.4643185,72.0
18.0,1639088812.463523,122.0,0.001425027847290039,1639088812.464948,72.0
23.0,1639088812.5335593,122.0,0.0013723373413085938,1639088812.5349317,72.0
24.0,1639088812.5834405,122.0,0.0011959075927734375,1639088812.5846364,72.0
25.0,1639088812.6326432,122.0,0.0013949871063232422,1639088812.6340382,72.0
26.0,1639088812.6834443,122.0,0.0012111663818359375,1639088812.6846554,72.0
27.0,1639088812.732579,122.0,0.0013403892517089844,1639088812.7339194,72.0
28.0,1639088812.782891,122.0,0.001219034194946289,1639088812.78411,72.0
29.0,1639088812.8326452,122.0,0.0013318061828613281,1639088812.833977,72.0
30.0,1639088812.8830752,122.0,0.0012011528015136719,1639088812.8842764,72.0
31.0,1639088812.9330566,122.0,0.0012989044189453125,1639088812.9343555,72.0
32.0,1639088812.9833233,122.0,0.0012164115905761719,1639088812.9845397,72.0
33.0,1639088813.0331504,122.0,0.0013432502746582031,1639088813.0344937,72.0
34.0,1639088813.0830142,122.0,0.0007624626159667969,1639088813.0837767,72.0
35.0,1639088813.13254,122.0,0.0011782646179199219,1639088813.1337183,72.0
36.0,1639088813.1835163,122.0,0.001247406005859375,1639088813.1847637,72.0
37.0,1639088813.2334673,122.0,0.0012569427490234375,1639088813.2347243,72.0
38.0,1639088813.283217,122.0,0.0013012886047363281,1639088813.2845182,72.0
39.0,1639088813.332823,122.0,0.0012104511260986328,1639088813.3340335,72.0
40.0,1639088813.3830569,122.0,0.0012905597686767578,1639088813.3843474,72.0
41.0,1639088813.432722,122.0,0.0013651847839355469,1639088813.4340873,72.0
42.0,1639088813.4915915,122.0,0.001190185546875,1639088813.4927816,72.0
43.0,1639088813.542789,122.0,0.0010821819305419922,1639088813.5438712,72.0
44.0,1639088813.5926666,122.0,0.0014600753784179688,1639088813.5941267,72.0
45.0,1639088813.6433132,122.0,0.0011758804321289062,1639088813.644489,72.0
46.0,1639088813.692699,122.0,0.0012552738189697266,1639088813.6939542,72.0
47.0,1639088813.7423182,122.0,0.0013930797576904297,1639088813.7437112,72.0
48.0,1639088813.7931023,122.0,0.001332998275756836,1639088813.7944353,72.0
49.0,1639088813.8429878,122.0,0.001302957534790039,1639088813.8442907,72.0
50.0,1639088813.892915,122.0,0.0012848377227783203,1639088813.8941998,72.0
51.0,1639088813.9426568,122.0,0.0013668537139892578,1639088813.9440236,72.0
52.0,1639088813.9931257,122.0,0.0012619495391845703,1639088813.9943876,72.0
53.0,1639088814.042885,122.0,0.0011756420135498047,1639088814.0440607,72.0
54.0,1639088814.0926538,122.0,0.0012676715850830078,1639088814.0939214,72.0
55.0,1639088814.142974,122.0,0.001374959945678711,1639088814.1443489,72.0
56.0,1639088814.192613,122.0,0.0013494491577148438,1639088814.1939623,72.0
57.0,1639088814.243213,122.0,0.0012023448944091797,1639088814.2444153,72.0
58.0,1639088814.293126,122.0,0.0013370513916015625,1639088814.2944632,72.0
59.0,1639088814.3427145,122.0,0.0013415813446044922,1639088814.3440561,72.0
60.0,1639088814.392928,122.0,0.0011315345764160156,1639088814.3940594,72.0
61.0,1639088814.4423928,122.0,0.001173257827758789,1639088814.443566,72.0
62.0,1639088814.492636,122.0,0.0013463497161865234,1639088814.4939823,72.0
63.0,1639088814.5427105,122.0,0.0013649463653564453,1639088814.5440755,72.0
64.0,1639088814.5933561,122.0,0.0013391971588134766,1639088814.5946953,72.0
65.0,1639088814.6428323,122.0,0.0013897418975830078,1639088814.644222,72.0
66.0,1639088814.6932306,122.0,0.0013206005096435547,1639088814.6945512,72.0
67.0,1639088814.7423353,122.0,0.0016236305236816406,1639088814.743959,72.0
68.0,1639088814.7928004,122.0,0.0013773441314697266,1639088814.7941778,72.0
69.0,1639088814.84269,122.0,0.0013790130615234375,1639088814.844069,72.0
70.0,1639088814.8924925,122.0,0.0013904571533203125,1639088814.893883,72.0
71.0,1639088814.943167,122.0,0.0013091564178466797,1639088814.9444761,72.0
72.0,1639088814.9926991,122.0,0.0013937950134277344,1639088814.994093,72.0
73.0,1639088815.0431843,122.0,0.0014138221740722656,1639088815.044598,72.0
74.0,1639088815.0923297,122.0,0.0012526512145996094,1639088815.0935824,72.0
75.0,1639088815.1429787,122.0,0.0013804435729980469,1639088815.144359,72.0
76.0,1639088815.1927881,122.0,0.001383066177368164,1639088815.1941712,72.0
77.0,1639088815.2433395,122.0,0.0012021064758300781,1639088815.2445416,72.0
78.0,1639088815.2931252,122.0,0.0014064311981201172,1639088815.2945316,72.0
