seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
2.0,1639153861.3828263,122.0,0.003565549850463867,1639153861.3863919,72.0
1.0,1639153861.3842123,122.0,0.006209135055541992,1639153861.3904214,72.0
0.0,1639153861.3852763,122.0,0.007734537124633789,1639153861.3930109,72.0
3.0,1639153861.4297695,122.0,0.0014078617095947266,1639153861.4311774,72.0
4.0,1639153861.4805067,122.0,0.0013363361358642578,1639153861.481843,72.0
5.0,1639153861.5299308,122.0,0.0013437271118164062,1639153861.5312746,72.0
6.0,1639153861.5796828,122.0,0.0013606548309326172,1639153861.5810435,72.0
7.0,1639153861.630728,122.0,0.0013644695281982422,1639153861.6320925,72.0
8.0,1639153861.6806042,122.0,0.0017130374908447266,1639153861.6823173,72.0
9.0,1639153861.7875702,122.0,0.0023238658905029297,1639153861.789894,72.0
10.0,1639153861.788909,122.0,0.003940105438232422,1639153861.792849,72.0
11.0,1639153861.830468,122.0,0.0013315677642822266,1639153861.8317995,72.0
12.0,1639153861.8803608,122.0,0.0013682842254638672,1639153861.8817291,72.0
13.0,1639153861.992839,122.0,0.0014042854309082031,1639153861.9942434,72.0
14.0,1639153861.9971428,122.0,0.0012369155883789062,1639153861.9983797,72.0
15.0,1639153862.0454464,122.0,0.0014524459838867188,1639153862.0468988,72.0
16.0,1639153862.0818334,122.0,0.0013747215270996094,1639153862.083208,72.0
17.0,1639153862.1498492,122.0,0.0014710426330566406,1639153862.1513202,72.0
18.0,1639153862.1799233,122.0,0.0004286766052246094,1639153862.180352,72.0
19.0,1639153862.251302,122.0,0.0015294551849365234,1639153862.2528315,72.0
20.0,1639153862.279841,122.0,0.0014045238494873047,1639153862.2812455,72.0
21.0,1639153862.3531055,122.0,0.0015337467193603516,1639153862.3546393,72.0
22.0,1639153862.3798053,122.0,0.0012814998626708984,1639153862.3810868,72.0
23.0,1639153862.4558058,122.0,0.001302957534790039,1639153862.4571087,72.0
24.0,1639153862.479996,122.0,0.001447439193725586,1639153862.4814434,72.0
25.0,1639153862.530593,122.0,0.0013332366943359375,1639153862.5319262,72.0
26.0,1639153862.596729,122.0,0.0014538764953613281,1639153862.598183,72.0
27.0,1639153862.6296818,122.0,0.0013725757598876953,1639153862.6310544,72.0
28.0,1639153862.6802096,122.0,0.001435995101928711,1639153862.6816456,72.0
29.0,1639153862.7298234,122.0,0.001271963119506836,1639153862.7310953,72.0
30.0,1639153862.7804897,122.0,0.001276254653930664,1639153862.781766,72.0
31.0,1639153862.8648732,122.0,0.0018532276153564453,1639153862.8667264,72.0
32.0,1639153862.8806632,122.0,0.0014483928680419922,1639153862.8821115,72.0
33.0,1639153862.9296577,122.0,0.0013277530670166016,1639153862.9309855,72.0
34.0,1639153862.9805233,122.0,0.0013244152069091797,1639153862.9818478,72.0
35.0,1639153863.0687182,122.0,0.0014252662658691406,1639153863.0701435,72.0
36.0,1639153863.080322,122.0,0.0011785030364990234,1639153863.0815005,72.0
37.0,1639153863.1297634,122.0,0.001497030258178711,1639153863.1312604,72.0
38.0,1639153863.1798656,122.0,0.0014009475708007812,1639153863.1812665,72.0
39.0,1639153863.2314286,122.0,0.0013985633850097656,1639153863.2328272,72.0
40.0,1639153863.2796726,122.0,0.0014300346374511719,1639153863.2811027,72.0
41.0,1639153863.3303037,122.0,0.0005545616149902344,1639153863.3308582,72.0
42.0,1639153863.3799658,122.0,0.0013971328735351562,1639153863.381363,72.0
43.0,1639153863.4305613,122.0,0.001430511474609375,1639153863.4319918,72.0
44.0,1639153863.4798603,122.0,0.0014319419860839844,1639153863.4812922,72.0
45.0,1639153863.5307014,122.0,0.0014293193817138672,1639153863.5321307,72.0
46.0,1639153863.5803816,122.0,0.0013856887817382812,1639153863.5817673,72.0
47.0,1639153863.6300738,122.0,0.0014085769653320312,1639153863.6314824,72.0
48.0,1639153863.6803823,122.0,0.0014433860778808594,1639153863.6818256,72.0
49.0,1639153863.7307603,122.0,0.0014035701751708984,1639153863.732164,72.0
50.0,1639153863.780273,122.0,0.0015153884887695312,1639153863.7817883,72.0
51.0,1639153863.829543,122.0,0.0013761520385742188,1639153863.8309193,72.0
52.0,1639153863.879643,122.0,0.0013611316680908203,1639153863.881004,72.0
53.0,1639153863.9299881,122.0,0.0014643669128417969,1639153863.9314525,72.0
54.0,1639153863.980071,122.0,0.001405954360961914,1639153863.981477,72.0
55.0,1639153864.0301285,122.0,0.0013103485107421875,1639153864.0314388,72.0
56.0,1639153864.0803106,122.0,0.0014071464538574219,1639153864.0817177,72.0
57.0,1639153864.1304111,122.0,0.001352548599243164,1639153864.1317637,72.0
58.0,1639153864.1805646,122.0,0.001283407211303711,1639153864.181848,72.0
59.0,1639153864.2307305,122.0,0.0013628005981445312,1639153864.2320933,72.0
60.0,1639153864.2799585,122.0,0.0014178752899169922,1639153864.2813764,72.0
61.0,1639153864.3305836,122.0,0.0013530254364013672,1639153864.3319366,72.0
62.0,1639153864.3800166,122.0,0.0014393329620361328,1639153864.381456,72.0
63.0,1639153864.4298947,122.0,0.0014770030975341797,1639153864.4313717,72.0
64.0,1639153864.480601,122.0,0.0014660358428955078,1639153864.482067,72.0
65.0,1639153864.529983,122.0,0.0013132095336914062,1639153864.5312963,72.0
66.0,1639153864.5801494,122.0,0.0014255046844482422,1639153864.581575,72.0
67.0,1639153864.6303236,122.0,0.001302957534790039,1639153864.6316266,72.0
68.0,1639153864.6802187,122.0,0.0013473033905029297,1639153864.681566,72.0
69.0,1639153864.7316556,122.0,0.0017421245574951172,1639153864.7333977,72.0
