tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
77.0,0.019988025538623333,-0.00015635730095436224,-4.5154918571978015e-06,2.629545052584141e-08,-1.468424965941911e-06,9.306576558713189e-08
78.0,0.012306952849030495,6.808652328753728e-05,-3.2174065585769677e-06,8.223613707655102e-09,-5.764409092332247e-07,3.7493820210417404e-08
79.0,0.017072053626179695,6.835346780735144e-05,-6.741052878457269e-06,-1.6174164070982909e-09,1.83181270230323e-06,-1.743391709483085e-08
80.0,0.01000936422497034,0.000263665287604434,1.2264156640864924e-05,1.6717864122181903e-08,5.9009107418441475e-06,-8.490757061509437e-08
81.0,0.00972842238843441,-0.000130443226654539,1.2019257119228713e-06,7.41244162952916e-08,3.4014679348297233e-06,3.4403325425162505e-08
82.0,0.010111586190760136,8.862771742966753e-05,2.8158415606729653e-06,1.0851865249342923e-07,1.9747750398854462e-06,4.655670085616136e-08
83.0,0.010739432647824287,-9.303080355042257e-06,-2.402715723633193e-07,1.297266160288835e-07,5.240775045108461e-07,7.679724164395309e-08
84.0,0.009101670235395432,2.429786867162951e-05,6.05821952256882e-07,1.344965966527302e-07,8.532410628274521e-07,7.461036902536221e-08
85.0,0.010148012079298496,1.2246740454660698e-05,-8.378823787104873e-07,1.4315529726485665e-07,1.068152916286352e-06,8.075825751476925e-08
86.0,0.009828329086303711,6.163134431167362e-05,2.4629113239965405e-06,1.5365345564061395e-07,1.6576737483378233e-06,7.252327376118762e-08
87.0,0.009953717701137066,-1.105716883021615e-05,7.0411009075372605e-09,1.7015347217215436e-07,4.4491979172954823e-07,9.703839780318291e-08
88.0,0.010083289816975594,1.418504198284982e-05,-2.485052712307594e-06,1.746397273774718e-07,-5.123796425599782e-07,9.710939526426417e-08
89.0,0.010535229928791523,5.194226040445462e-05,-1.7751663159767995e-06,1.6924169003227043e-07,-1.4269552339347342e-07,7.092879355493666e-08
90.0,0.009782682172954082,4.756595713661217e-05,2.0792404926995474e-07,1.6784574507940874e-07,6.445776217587961e-07,5.356290568160184e-08
91.0,0.009795773774385452,2.062085230411499e-05,7.963064694125482e-08,1.741598816421893e-07,8.147092777799454e-07,5.559968263050449e-08
92.0,0.010196010582149029,3.062459740225245e-05,-1.3824949430323485e-06,1.824666660598086e-07,-5.4996722134724524e-08,5.64115975493809e-08
93.0,0.010222177021205425,4.184709645114471e-05,-4.923984252021838e-07,1.819044798305614e-07,3.514331466936323e-07,4.227948951078292e-08
94.0,0.010029956698417664,3.243099721161934e-05,-8.417014588179128e-07,1.854293390742872e-07,1.90025706058968e-07,3.7340754627635966e-08
95.0,0.009993272833526134,3.748912548949805e-05,4.941144719004373e-07,1.873283178003179e-07,7.441220345162541e-07,2.89294023052916e-08
96.0,0.010069326497614384,1.9974342526953943e-05,-8.846062311065131e-07,1.9482112551993114e-07,1.4915223520976857e-07,3.390480225005341e-08
97.0,0.01003543846309185,3.819706437878101e-05,-1.922295893092626e-06,1.9631793359801137e-07,-2.9867692835576765e-07,2.502739085371639e-08
98.0,0.009858922101557255,5.316951086058271e-05,-9.268600786594702e-07,1.9337330102781945e-07,1.2898658649945123e-07,6.075625387572757e-09
99.0,0.009022466838359833,4.190548292776283e-05,-5.216579065327422e-07,1.9453707822710397e-07,3.270889926946638e-07,-2.2869389359319e-09
100.0,0.01027362048625946,3.840315999567798e-05,-3.8804934949208157e-07,1.9789746640328185e-07,1.0242241700347348e-06,-7.646254291305903e-09
101.0,0.010900041088461876,6.062531175679045e-05,3.0255468589565624e-06,2.0906155194045622e-07,1.8486714794015425e-06,-1.1876008145120495e-08
102.0,0.009878681041300297,-7.253770733973327e-06,1.1978534770234712e-06,2.273239878356128e-07,1.0830744088671434e-06,1.8012404250019356e-08
103.0,0.009902680292725563,1.5458536943859797e-05,4.4381853821812316e-07,2.3804932743985686e-07,1.1925549915088702e-06,2.9874364270512476e-08
104.0,0.009258502162992954,4.04821862095838e-05,-1.434266134933442e-06,2.490906004082298e-07,-9.330001826057556e-08,3.398345916658134e-08
105.0,0.010224824771285057,4.844039660188886e-05,-7.003238291618409e-07,2.481366240703577e-07,6.765674946402379e-07,1.931833926149861e-08
106.0,0.009917273186147213,5.676061431386108e-05,1.7921658478779815e-06,2.5484632874357216e-07,1.3146807774776719e-06,1.2373036528931943e-08
107.0,0.010382972657680511,8.881418382862465e-06,2.2694698967895703e-08,2.68496623309701e-07,3.9533989681511906e-07,3.0981045525477835e-08
108.0,0.009912531822919846,2.5407202888344924e-05,-1.3359868699620665e-07,2.7241544261775075e-07,4.898684054889342e-07,3.120600745120869e-08
109.0,0.009956550784409046,3.355947610272148e-05,-4.463161426726587e-08,2.772928422746788e-07,5.679180067462338e-07,2.9875825339400586e-08
