tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
22.0,0.010501185432076454,-7.850186584520406e-06,7.097070107550055e-07,2.7359273664689804e-08,-3.236696530376807e-08,2.2272380905699227e-07
23.0,0.009833195246756077,-1.7590079345001743e-05,1.6376386424064462e-07,3.433796126943539e-08,-3.0176878603209445e-08,-1.4834410934506957e-07
24.0,0.009927064180374146,-1.5922168390052262e-05,-7.813820510010843e-07,3.596365566017834e-08,-3.164950009745839e-08,-4.195499540090484e-07
25.0,0.009789472445845604,1.3549518620608693e-06,-7.095773349420141e-07,2.8314337602224904e-08,-3.575667281188576e-08,-3.864628431159914e-07
26.0,0.00971317756921053,1.1445600127349368e-06,4.170785179272952e-07,2.1422086948845946e-08,-3.951045503097334e-08,7.738259233901626e-08
27.0,0.010475240647792816,-1.4085603840335117e-05,-1.2990244784823266e-07,2.5791084793159133e-08,-3.869985375427209e-08,-1.4307159066462808e-07
28.0,0.009674790315330029,-6.699064301390372e-06,6.869480693479073e-08,2.4534305848779388e-08,-4.0084041394033096e-08,-2.7653948556230616e-07
29.0,0.010579055175185204,-1.7220453821404065e-05,-1.2835305038537036e-06,2.5261032001591235e-08,-4.3009567869914064e-08,-6.394647432529795e-07
30.0,0.009626808576285839,8.549865957868206e-06,-9.544873299931478e-08,1.2904729539167917e-08,-4.9165572544494266e-08,-4.812723366931127e-07
31.0,0.00975369568914175,-1.9027526017648773e-05,-1.6266243262718376e-06,1.197375164357846e-08,-5.3859756460201056e-08,-7.957428099005734e-07
32.0,0.009931471198797226,1.3778441797268422e-05,-1.0764791517755934e-06,-4.181021004053239e-09,-6.176265325837858e-08,-5.524091770941695e-07
33.0,0.010768663138151169,8.119166569227478e-06,-9.208822750797783e-08,-1.577326236476731e-08,-6.771136160092898e-08,-1.387692262325652e-07
34.0,0.009798898361623287,-4.377703117895916e-06,3.977996176790205e-07,-1.6675625546420027e-08,-6.9071147144503e-08,-2.516039828798985e-07
35.0,0.009369867853820324,-2.263131566080384e-05,-1.3817049548705496e-06,-1.2948295696467358e-08,-7.142864321558252e-08,-6.752408697944151e-07
36.0,0.010027026757597923,1.299503260863067e-05,-9.256828063515001e-07,-2.680268825005999e-08,-7.819930148483482e-08,-4.1743218050614334e-07
