tick,force_value,force_target
1.0,0.0,
2.0,-0.0,-0.0
3.0,-0.00043080140747837697,-0.00043080140747837697
4.0,-2.4674464858550126e-05,-2.4674464858550126e-05
5.0,1.2783628309491677e-05,1.2783628309491677e-05
6.0,0.00020799039500491286,0.00020799039500491286
7.0,-0.00010737489052201589,-0.00010737489052201589
8.0,-2.64450999204182e-05,-2.64450999204182e-05
9.0,-2.8957036910774273e-05,-2.8957036910774273e-05
10.0,-1.5515164515248412e-05,-1.5515164515248412e-05
11.0,-0.00013381203103580834,-0.00013381203103580834
12.0,4.2848916410228796e-05,4.2848916410228796e-05
13.0,2.031211760270243e-05,2.031211760270243e-05
14.0,0.00018984312041280639,0.00018984312041280639
15.0,5.743269728250195e-06,5.743269728250195e-06
16.0,-3.6319154838936014e-05,-3.6319154838936014e-05
17.0,-9.831418645993002e-06,-9.831418645993002e-06
18.0,5.2363491262233604e-05,5.2363491262233604e-05
19.0,1.0161779173911931e-05,1.0161779173911931e-05
20.0,-4.272666044988833e-05,-4.272666044988833e-05
21.0,-2.246343415664849e-05,-2.246343415664849e-05
22.0,-6.834739972800176e-06,-6.834739972800176e-06
23.0,-4.62949251295107e-05,-4.62949251295107e-05
24.0,-0.00011202017484396003,-0.00011202017484396003
25.0,0.00019270113853468729,0.00019270113853468729
26.0,-0.00010462979036442671,-0.00010462979036442671
27.0,0.00011459403310984533,0.00011459403310984533
28.0,1.422438578784647e-05,1.422438578784647e-05
29.0,-1.9027055002237176e-05,-1.9027055002237176e-05
30.0,1.3928248202782247e-05,1.3928248202782247e-05
31.0,6.238658900598664e-05,6.238658900598664e-05
32.0,-6.688582780911915e-05,-6.688582780911915e-05
33.0,2.5507927760612162e-05,2.5507927760612162e-05
34.0,2.2172441890791798e-05,2.2172441890791798e-05
35.0,8.980179691866904e-06,8.980179691866904e-06
36.0,-0.00012027752230812522,-0.00012027752230812522
37.0,0.00026596296234899017,0.00026596296234899017
38.0,-0.0001328976223308284,-0.0001328976223308284
39.0,0.00011019210710556902,0.00011019210710556902
