tick,force_value,force_target
38.0,-1.5449570050664134e-05,-1.5449570050664134e-05
39.0,-3.0535774962740266e-05,-3.0535774962740266e-05
40.0,3.5004833383797538e-06,3.5004833383797538e-06
41.0,-7.006897342685438e-06,-7.006897342685438e-06
42.0,-3.149797561211475e-05,-3.149797561211475e-05
43.0,-1.903496288441267e-05,-1.903496288441267e-05
44.0,-1.9056461981806382e-05,-1.9056461981806382e-05
45.0,-8.54700206677689e-06,-8.54700206677689e-06
46.0,2.4485474502833083e-06,2.4485474502833083e-06
47.0,-4.147730847627296e-06,-4.147730847627296e-06
48.0,-1.9890771340973062e-05,-1.9890771340973062e-05
49.0,-7.745156419388934e-06,-7.745156419388934e-06
50.0,-3.1180594986671575e-05,-3.1180594986671575e-05
51.0,8.228892965625627e-06,8.228892965625627e-06
52.0,-7.756051271247344e-06,-7.756051271247344e-06
53.0,-3.000628380233113e-05,-3.000628380233113e-05
54.0,-1.5174663476469815e-05,-1.5174663476469815e-05
55.0,-1.389899990105101e-05,-1.389899990105101e-05
56.0,1.9274827041161127e-06,1.9274827041161127e-06
57.0,-2.4376016558255816e-05,-2.4376016558255816e-05
58.0,-8.658525062463002e-07,-8.658525062463002e-07
59.0,-5.806551285545627e-06,-5.806551285545627e-06
60.0,-2.6578123177646924e-05,-2.6578123177646924e-05
61.0,1.1705623571984566e-05,1.1705623571984566e-05
62.0,-2.3056199207841426e-05,-2.3056199207841426e-05
63.0,1.5945526111697092e-05,1.5945526111697092e-05
64.0,-2.4934858612579183e-05,-2.4934858612579183e-05
65.0,-1.146077910184157e-05,-1.146077910184157e-05
66.0,8.342224290067512e-06,8.342224290067512e-06
67.0,-2.893732514855835e-05,-2.893732514855835e-05
68.0,3.8061881509716472e-06,3.8061881509716472e-06
69.0,-2.350810943317063e-05,-2.350810943317063e-05
70.0,2.072083443744986e-06,2.072083443744986e-06
71.0,6.551090123560536e-07,6.551090123560536e-07
72.0,-2.129192341111323e-05,-2.129192341111323e-05
73.0,1.67928066366428e-05,1.67928066366428e-05
74.0,-2.1567180829078798e-05,-2.1567180829078798e-05
75.0,2.221351023200171e-05,2.221351023200171e-05
76.0,-1.4177391786638498e-06,-1.4177391786638498e-06
77.0,-9.483705126937244e-06,-9.483705126937244e-06
78.0,8.676273452360568e-06,8.676273452360568e-06
79.0,5.594227223033252e-06,5.594227223033252e-06
80.0,-2.2673000763831467e-05,-2.2673000763831467e-05
81.0,2.847032753556753e-05,2.847032753556753e-05
82.0,-1.4568676518783444e-05,-1.4568676518783444e-05
83.0,2.841385505019791e-05,2.841385505019791e-05
84.0,-2.3874962208574288e-05,-2.3874962208574288e-05
85.0,3.4219674375432047e-06,3.4219674375432047e-06
86.0,1.4779712688226456e-05,1.4779712688226456e-05
87.0,-9.682727456606073e-06,-9.682727456606073e-06
88.0,1.495304677697762e-05,1.495304677697762e-05
89.0,-1.6917558917520085e-05,-1.6917558917520085e-05
90.0,2.3661730042639953e-05,2.3661730042639953e-05
91.0,-1.7819178761600547e-05,-1.7819178761600547e-05
92.0,1.1348958623732126e-05,1.1348958623732126e-05
93.0,8.429944400247417e-06,8.429944400247417e-06
94.0,-1.0253786493113554e-05,-1.0253786493113554e-05
95.0,4.283421832097694e-07,4.283421832097694e-07
96.0,2.1183804552266894e-05,2.1183804552266894e-05
97.0,-1.3785504235160015e-05,-1.3785504235160015e-05
98.0,2.2365154043169147e-05,2.2365154043169147e-05
99.0,-1.622282775278052e-05,-1.622282775278052e-05
100.0,1.2046106871027159e-05,1.2046106871027159e-05
101.0,-9.509806910615253e-06,-9.509806910615253e-06
102.0,1.851845823208723e-05,1.851845823208723e-05
103.0,-8.7382720576427e-06,-8.7382720576427e-06
104.0,6.499529694892265e-06,6.499529694892265e-06
105.0,2.4575066558265658e-05,2.4575066558265658e-05
106.0,-2.2775600160254764e-05,-2.2775600160254764e-05
107.0,-1.4180369338466872e-05,-1.4180369338466872e-05
108.0,2.748044515209578e-05,2.748044515209578e-05
109.0,-9.944714453093744e-06,-9.944714453093744e-06
110.0,1.9253384579246358e-05,1.9253384579246358e-05
