seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
0.0,1638445828.1207864,122.0,0.0014867782592773438,1638445828.1222732,72.0
1.0,1638445828.1300557,122.0,0.0003612041473388672,1638445828.1304169,72.0
2.0,1638445828.1390004,122.0,0.0004029273986816406,1638445828.1394033,72.0
3.0,1638445828.1485891,122.0,0.0014297962188720703,1638445828.150019,72.0
4.0,1638445828.158784,122.0,0.001363515853881836,1638445828.1601474,72.0
5.0,1638445828.168817,122.0,0.0013756752014160156,1638445828.1701927,72.0
6.0,1638445828.1788805,122.0,0.0013759136199951172,1638445828.1802564,72.0
7.0,1638445828.1891475,122.0,0.0013842582702636719,1638445828.1905317,72.0
8.0,1638445828.198014,122.0,0.0013506412506103516,1638445828.1993647,72.0
9.0,1638445828.2088933,122.0,0.0013284683227539062,1638445828.2102218,72.0
10.0,1638445828.2184389,122.0,0.0010921955108642578,1638445828.219531,72.0
11.0,1638445828.2281096,122.0,0.0012235641479492188,1638445828.2293332,72.0
12.0,1638445828.2389722,122.0,0.0012593269348144531,1638445828.2402315,72.0
13.0,1638445828.2495322,122.0,0.0012896060943603516,1638445828.2508218,72.0
14.0,1638445828.258529,122.0,0.001341104507446289,1638445828.25987,72.0
15.0,1638445828.2683396,122.0,0.0003921985626220703,1638445828.2687318,72.0
16.0,1638445828.2786038,122.0,0.0013647079467773438,1638445828.2799685,72.0
17.0,1638445828.2886295,122.0,0.0013914108276367188,1638445828.290021,72.0
18.0,1638445828.2985034,122.0,0.0003933906555175781,1638445828.2988968,72.0
19.0,1638445828.3088436,122.0,0.0004363059997558594,1638445828.30928,72.0
20.0,1638445828.3191028,122.0,0.000507354736328125,1638445828.31961,72.0
21.0,1638445828.3285172,122.0,0.0006382465362548828,1638445828.3291554,72.0
22.0,1638445828.338825,122.0,0.0006811618804931641,1638445828.3395061,72.0
23.0,1638445828.3487892,122.0,0.0010142326354980469,1638445828.3498034,72.0
24.0,1638445828.3582535,122.0,0.0014009475708007812,1638445828.3596544,72.0
25.0,1638445828.3683126,122.0,0.0014944076538085938,1638445828.369807,72.0
26.0,1638445828.378373,122.0,0.0014088153839111328,1638445828.3797817,72.0
27.0,1638445828.388521,122.0,0.0014405250549316406,1638445828.3899615,72.0
28.0,1638445828.3984466,122.0,0.0013566017150878906,1638445828.3998032,72.0
29.0,1638445828.4082012,122.0,0.001138925552368164,1638445828.4093401,72.0
30.0,1638445828.4186213,122.0,0.0010766983032226562,1638445828.419698,72.0
31.0,1638445828.4281828,122.0,0.0014874935150146484,1638445828.4296703,72.0
32.0,1638445828.4382267,122.0,0.0012865066528320312,1638445828.4395132,72.0
33.0,1638445828.448375,122.0,0.0013072490692138672,1638445828.4496822,72.0
34.0,1638445828.4582593,122.0,0.0011491775512695312,1638445828.4594085,72.0
35.0,1638445828.4680247,122.0,0.0013132095336914062,1638445828.469338,72.0
36.0,1638445828.4788404,122.0,0.001249551773071289,1638445828.48009,72.0
37.0,1638445828.4886599,122.0,0.0013318061828613281,1638445828.4899917,72.0
38.0,1638445828.4986777,122.0,0.0012507438659667969,1638445828.4999285,72.0
39.0,1638445828.508522,122.0,0.0013461112976074219,1638445828.5098681,72.0
40.0,1638445828.5183265,122.0,0.0010523796081542969,1638445828.519379,72.0
41.0,1638445828.5288556,122.0,0.0013415813446044922,1638445828.5301971,72.0
42.0,1638445828.538743,122.0,0.0012614727020263672,1638445828.5400045,72.0
43.0,1638445828.548483,122.0,0.0012359619140625,1638445828.5497189,72.0
44.0,1638445828.558533,122.0,0.0012590885162353516,1638445828.559792,72.0
45.0,1638445828.5683935,122.0,0.0013005733489990234,1638445828.569694,72.0
46.0,1638445828.5780892,122.0,0.0012688636779785156,1638445828.579358,72.0
47.0,1638445828.5889132,122.0,0.0013117790222167969,1638445828.590225,72.0
48.0,1638445828.5988264,122.0,0.0012888908386230469,1638445828.6001153,72.0
49.0,1638445828.6088567,122.0,0.001310110092163086,1638445828.6101668,72.0
50.0,1638445828.618671,122.0,0.0012845993041992188,1638445828.6199555,72.0
