tick,tick_dt,input_force,output_ang_vel,output_speed,output_position,output_angle
55.0,0.01046136487275362,-1.389899990105101e-05,-9.928183078271347e-07,-5.313039735936986e-07,-1.1306545385744574e-07,9.222399288032117e-09
56.0,0.00976305641233921,1.9274827041161127e-06,-1.8894301628533774e-08,-5.019901406462827e-07,-1.18252604523741e-07,-4.705418584873546e-10
57.0,0.009564298205077648,-2.4376016558255816e-05,-1.0640090386758254e-06,-6.817632655102448e-07,-1.2305378792489092e-07,-6.512525936393358e-10
58.0,0.01051627192646265,-8.658525062463002e-07,-6.09543520015058e-07,-4.800151009144536e-07,-1.3022339581446982e-07,-1.1840660976568431e-08
59.0,0.009526297450065613,-5.806551285545627e-06,-4.6320319991484675e-08,-6.146508657081209e-07,-1.3479616244630416e-07,-1.7647353856991897e-08
60.0,0.010432513430714607,-2.6578123177646924e-05,-1.9018566759499765e-06,-1.033092917856793e-06,-1.412085158580045e-07,-1.813059121741806e-08
61.0,0.009432447142899036,1.1705623571984566e-05,-4.008311129015455e-07,-8.355364231458209e-07,-1.5095311019939205e-07,-3.606975378668587e-08
62.0,0.010382957756519318,-2.3056199207841426e-05,-2.0971577886450306e-06,-1.1153363414599994e-06,-1.5962844958494835e-07,-4.023156629944124e-08
63.0,0.010393365286290646,1.5945526111697092e-05,-2.2323463018912073e-07,-7.981910363671437e-07,-1.712205475988171e-07,-6.202809325981855e-08
64.0,0.009390762075781822,-2.4934858612579183e-05,1.3931719168693822e-07,-1.3155443369462273e-07,-1.7871616971236268e-07,-6.412443655899973e-08
65.0,0.010301254689693451,-1.146077910184157e-05,-7.132579756849277e-07,-2.5986935692240893e-07,-1.8007134543940938e-07,-6.268929468477973e-08
66.0,0.009567834436893463,8.342224290067512e-06,7.805067108437813e-07,-1.1273518645753989e-07,-1.8255773242166496e-07,-6.951362890692691e-08
67.0,0.01051119714975357,-2.893732514855835e-05,-1.0274127077011393e-06,-6.258504687324122e-07,-1.837427141922344e-07,-6.130956899254222e-08
68.0,0.009898480959236622,3.8061881509716472e-06,1.9787151400382292e-08,-5.658120343448057e-07,-1.899376831403115e-07,-7.147939411699968e-08
