seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
0.0,1638445828.645999,122.0,1638445828.6497145,72.0,0.00371551513671875
1.0,1638445828.6557734,122.0,1638445828.6585991,72.0,0.0028257369995117188
2.0,1638445828.6649878,122.0,1638445828.668074,72.0,0.003086090087890625
3.0,1638445828.6745715,122.0,1638445828.677085,72.0,0.002513408660888672
4.0,1638445828.6840174,122.0,1638445828.687176,72.0,0.0031585693359375
5.0,1638445828.6941595,122.0,1638445828.6965625,72.0,0.0024030208587646484
6.0,1638445828.70452,122.0,1638445828.7074218,72.0,0.002901792526245117
7.0,1638445828.7149,122.0,1638445828.7172952,72.0,0.002395153045654297
8.0,1638445828.7243614,122.0,1638445828.7272296,72.0,0.002868175506591797
9.0,1638445828.7342124,122.0,1638445828.7366056,72.0,0.0023932456970214844
10.0,1638445828.7444508,122.0,1638445828.7468538,72.0,0.0024030208587646484
11.0,1638445828.754838,122.0,1638445828.7578187,72.0,0.0029807090759277344
12.0,1638445828.764798,122.0,1638445828.7677512,72.0,0.0029532909393310547
13.0,1638445828.7738397,122.0,1638445828.776823,72.0,0.0029833316802978516
14.0,1638445828.7847776,122.0,1638445828.7876976,72.0,0.002919912338256836
15.0,1638445828.794683,122.0,1638445828.7977297,72.0,0.003046751022338867
16.0,1638445828.804666,122.0,1638445828.8075116,72.0,0.0028455257415771484
17.0,1638445828.8145287,122.0,1638445828.8175118,72.0,0.00298309326171875
18.0,1638445828.8243902,122.0,1638445828.8273592,72.0,0.002969026565551758
19.0,1638445828.8342624,122.0,1638445828.8372915,72.0,0.0030291080474853516
20.0,1638445828.8440974,122.0,1638445828.8466852,72.0,0.0025877952575683594
21.0,1638445828.854604,122.0,1638445828.857662,72.0,0.0030579566955566406
22.0,1638445828.8645139,122.0,1638445828.867432,72.0,0.002918243408203125
23.0,1638445828.8743885,122.0,1638445828.8773675,72.0,0.0029790401458740234
24.0,1638445828.8842192,122.0,1638445828.8868437,72.0,0.00262451171875
25.0,1638445828.8940856,122.0,1638445828.896578,72.0,0.0024924278259277344
26.0,1638445828.9044771,122.0,1638445828.907016,72.0,0.002538919448852539
27.0,1638445828.9140587,122.0,1638445828.9165215,72.0,0.0024628639221191406
28.0,1638445828.9246907,122.0,1638445828.927336,72.0,0.002645254135131836
29.0,1638445828.934255,122.0,1638445828.937073,72.0,0.0028181076049804688
30.0,1638445828.944,122.0,1638445828.946914,72.0,0.002913951873779297
31.0,1638445828.9540164,122.0,1638445828.9568927,72.0,0.00287628173828125
32.0,1638445828.9647884,122.0,1638445828.9673584,72.0,0.002569913864135742
33.0,1638445828.9745076,122.0,1638445828.9770951,72.0,0.002587556838989258
34.0,1638445828.9838576,122.0,1638445828.9869714,72.0,0.0031137466430664062
35.0,1638445828.993899,122.0,1638445828.9968839,72.0,0.002984762191772461
36.0,1638445829.0047433,122.0,1638445829.0075946,72.0,0.002851247787475586
37.0,1638445829.0144937,122.0,1638445829.0170374,72.0,0.0025436878204345703
38.0,1638445829.024088,122.0,1638445829.0271752,72.0,0.003087282180786133
39.0,1638445829.034079,122.0,1638445829.0364728,72.0,0.0023937225341796875
40.0,1638445829.0445235,122.0,1638445829.0473838,72.0,0.0028603076934814453
41.0,1638445829.0543644,122.0,1638445829.0567923,72.0,0.002427816390991211
42.0,1638445829.0646977,122.0,1638445829.0673354,72.0,0.002637624740600586
43.0,1638445829.0744228,122.0,1638445829.0772607,72.0,0.0028378963470458984
44.0,1638445829.0840702,122.0,1638445829.0869722,72.0,0.0029020309448242188
45.0,1638445829.0940013,122.0,1638445829.096849,72.0,0.0028476715087890625
46.0,1638445829.1047006,122.0,1638445829.1070855,72.0,0.0023849010467529297
47.0,1638445829.1141691,122.0,1638445829.1165931,72.0,0.002424001693725586
48.0,1638445829.1246593,122.0,1638445829.1274285,72.0,0.0027692317962646484
49.0,1638445829.134378,122.0,1638445829.1373854,72.0,0.0030074119567871094
50.0,1638445829.144455,122.0,1638445829.14689,72.0,0.002434968948364258
51.0,1638445829.1540296,122.0,1638445829.1569002,72.0,0.0028705596923828125
52.0,1638445829.164784,122.0,1638445829.1677976,72.0,0.00301361083984375
53.0,1638445829.1749058,122.0,1638445829.1774495,72.0,0.0025436878204345703
54.0,1638445829.1843045,122.0,1638445829.1873477,72.0,0.0030431747436523438
55.0,1638445829.1942775,122.0,1638445829.1968195,72.0,0.0025420188903808594
56.0,1638445829.2046764,122.0,1638445829.207045,72.0,0.0023686885833740234
57.0,1638445829.2140114,122.0,1638445829.21637,72.0,0.002358675003051758
58.0,1638445829.2243721,122.0,1638445829.227281,72.0,0.002908945083618164
59.0,1638445829.234224,122.0,1638445829.236577,72.0,0.0023529529571533203
60.0,1638445829.244469,122.0,1638445829.247452,72.0,0.00298309326171875
61.0,1638445829.254313,122.0,1638445829.2572856,72.0,0.0029726028442382812
62.0,1638445829.2640622,122.0,1638445829.26715,72.0,0.003087759017944336
63.0,1638445829.2741232,122.0,1638445829.2766795,72.0,0.002556324005126953
64.0,1638445829.2845592,122.0,1638445829.2873378,72.0,0.0027785301208496094
65.0,1638445829.2942176,122.0,1638445829.2970355,72.0,0.002817869186401367
66.0,1638445829.3039758,122.0,1638445829.3070593,72.0,0.003083467483520508
67.0,1638445829.314263,122.0,1638445829.316781,72.0,0.0025179386138916016
68.0,1638445829.3247433,122.0,1638445829.3276188,72.0,0.0028755664825439453
69.0,1638445829.334492,122.0,1638445829.3375316,72.0,0.0030395984649658203
70.0,1638445829.3444068,122.0,1638445829.3475335,72.0,0.0031266212463378906
71.0,1638445829.354613,122.0,1638445829.3576624,72.0,0.0030493736267089844
72.0,1638445829.3645463,122.0,1638445829.3674748,72.0,0.002928495407104492
73.0,1638445829.374432,122.0,1638445829.3774507,72.0,0.003018617630004883
74.0,1638445829.3843143,122.0,1638445829.3872855,72.0,0.002971172332763672
75.0,1638445829.394189,122.0,1638445829.3971987,72.0,0.003009796142578125
