tick,tick_dt,input_force,output_angle,output_speed,output_ang_vel,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.011455314999977873,0.0,0.0,-7.150513153250937e-08,9.19607279590986e-06,0.0
3.0,0.009467814999993607,0.0,8.706671595814852e-08,3.754243188185085e-09,2.2099337385293304e-08,-6.769973569000081e-10
4.0,0.009890259000002288,-0.00026902390967926336,8.728528412861751e-08,-3.7358237746325993e-06,-8.445218237131964e-06,-6.398669194198632e-10
5.0,0.013436536999989812,9.890590570611537e-05,-2.6189203187594854e-08,-5.537257149728961e-07,-5.862876169707962e-07,-5.083640129271238e-08
6.0,0.01135100100000841,9.890590570611537e-05,-3.284415451412291e-08,1.6612419428999665e-06,5.056591305104277e-06,-5.71217424371001e-08
7.0,0.010505278000010776,-8.568172047874507e-05,2.0276742878434828e-08,-1.3109208181916736e-07,-1.1585739742984758e-06,-3.9669934001657924e-08
8.0,0.00915522200000396,-8.568172047874507e-05,9.669740940305401e-09,-1.377488617788146e-06,-3.1326827398154355e-06,-4.0870111113155085e-08
9.0,0.010497630000003255,3.734786902226067e-05,-2.3216003369673506e-08,-5.536338909850081e-07,-2.3636935725826273e-06,-5.5330476951910945e-08
10.0,0.004667647999980318,3.734786902226067e-05,-3.424889294630514e-08,-2.181488229097036e-07,-1.1557801484606974e-08,-5.791464507588844e-08
11.0,0.010675407000007908,-6.83584591499038e-06,-3.437227718117861e-08,-3.7938662580648553e-07,1.668341851247702e-06,-6.024347254702217e-08
12.0,0.00974429699999746,-6.83584591499038e-06,-1.8115458685095422e-08,-5.11885285136173e-07,1.451631945025771e-06,-6.394032850670747e-08
13.0,0.009965500000021166,-6.21312369289033e-05,-3.649220536910378e-09,-1.8370578318755635e-06,1.1611263175608315e-05,-6.904152131574283e-08
14.0,0.010096075000006977,-6.21312369289033e-05,1.1357896332885035e-07,-3.1072682933633974e-06,-1.1764801912818973e-05,-8.758859496570874e-08
15.0,0.009705777999982956,0.00020975589889296015,-6.075922507454463e-10,-8.749630913110886e-07,-2.010360022622112e-06,-1.1774705120747978e-07
