tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
19.0,0.009539852999978393,-5.577225886735039e-05,-1.9107272761423164e-06,-7.69123922804377e-06,-4.910408624931565e-09,-8.206601227006627e-08
20.0,0.011813082999879043,0.00014945874812164316,1.0591136430774487e-06,2.099501805621508e-06,-9.576765599773825e-08,-1.0463759217326825e-07
21.0,0.008785869000121238,-1.7099206652561877e-05,8.759164480588201e-07,2.6572389386178586e-06,-7.732170816802968e-08,-9.533235844894864e-08
22.0,0.010216228000217598,-4.154959319744096e-05,2.1743032566990347e-08,-2.166451515582371e-06,-5.0174749320053424e-08,-8.638379630643897e-08
23.0,0.011023358999864286,6.454425560296564e-05,1.403720364976764e-06,3.7057148690903153e-06,-7.405632213211798e-08,-8.61441150527073e-08
24.0,0.009122454999896945,-5.2657844676354686e-05,4.5467677507729307e-07,1.1754342840016069e-06,-4.025110499639258e-08,-7.333873919076786e-08
25.0,0.009331099000064569,-1.7015604962585888e-05,1.35409815199815e-07,-1.1430703860181407e-06,-2.928301132430357e-08,-6.909610518949155e-08
26.0,0.009922641999992265,3.753003003050689e-05,-4.194229709421017e-07,-1.2666381846136941e-06,-4.062528954555454e-08,-6.775248206997867e-08
27.0,0.010728772999982539,2.2423530517669578e-05,-5.530563262833345e-08,3.6135332845962204e-07,-5.421476310138484e-08,-7.225237591619475e-08
28.0,0.00897286500003247,-1.0194924828941918e-05,-2.388526065545629e-07,7.740203727313495e-08,-5.097238846780426e-08,-7.274862589151017e-08
29.0,0.010720994999928735,-9.032902867538002e-06,-4.3636853492568854e-07,-2.2286806327528467e-06,-5.014256161321468e-08,-7.530936349210159e-08
30.0,0.011120707999907609,5.037634299022479e-05,6.513301517292867e-07,2.549112588196345e-06,-7.492706815510841e-08,-8.016209054935765e-08
31.0,0.008386637000057817,-4.5969410643965615e-05,-1.065257763525215e-07,-5.235775590582639e-08,-5.35485862056278e-08,-7.469962099961154e-08
32.0,0.010448019000023123,-2.843969912973765e-07,-1.1670406647048924e-07,-2.9102995467488035e-06,-5.409562103413045e-08,-7.58126043349349e-08
33.0,0.011167077999971298,8.214917140171017e-05,1.6658314373052133e-06,4.8211683378867236e-06,-8.659516307595545e-08,-7.711584774812469e-08
34.0,0.008312249999789856,-7.347182368575608e-05,4.629277729839582e-07,9.780636549074925e-07,-4.6520406560369674e-08,-6.32690403837345e-08
35.0,0.010012472999960664,-7.347182368575608e-05,-1.0044782768125429e-06,-4.369266727064909e-06,-3.672757062336556e-08,-5.8633988555800696e-08
36.0,0.013076038000008339,9.11723625538423e-05,1.3174092308977148e-06,4.253296528854238e-06,-9.386026837863838e-08,-7.176858467358441e-08
37.0,0.008552319000045827,-6.84786020136382e-05,1.58216650760204e-07,1.3827921846649856e-06,-5.748471966208931e-08,-6.050168067734212e-08
38.0,0.008591966000039974,-6.84786020136382e-05,-1.0186740982687353e-06,-4.786650284301569e-06,-4.560381622632676e-08,-5.914228859337025e-08
39.0,0.014064497999925152,0.00010377328482580911,-0.00012204551754358827,-0.11225243472259379,-1.1292564957622734e-07,-7.346942841104644e-08
40.0,0.01587447799988695,3.247810570118187,0.10270483370453322,0.3495724496203937,-0.0017820617310871374,-2.010878311641555e-06
41.0,0.011979559999872436,-6.194714994540675,-0.04010599959806571,-0.06508770240188363,0.0024056624034427525,0.001228347839328735
42.0,0.009155417000101806,0.2176424634894838,-0.034828764216178594,-0.0561691805055608,0.0018097573463749799,0.000861160688802528
43.0,0.008752239999921585,0.20005586244433893,-0.030107543410985347,-0.04821679570551612,0.001318151197991395,0.0005563309854818521
44.0,0.011385554999833403,0.1815276483080095,-0.024409343161146953,-0.03870422136627046,0.0007691762185705102,0.00021353989406620665
45.0,0.019172353000158182,0.1578244456313661,-0.015772522914310444,-0.024493679753800107,2.712522394010834e-05,-0.00025444464952129975
46.0,0.011795677000009164,0.12020673896822798,-0.011354370201836292,-0.01728167889918925,-0.0002617943109773817,-0.00044049223529374896
47.0,0.01795228700007101,0.09494127116531242,-0.005553558645064709,-0.007921223044107056,-0.0005720399704186983,-0.0006443291478621683
48.0,0.01057912800001759,0.09494127116531242,-0.002139169969524104,-0.002408327374500419,-0.0006558396029189958,-0.0007030809556239121
49.0,0.013970963000019765,0.029625607068226575,-6.936463192893393e-05,0.0008020829750068359,-0.0006894862555600759,-0.0007329672201188867
50.0,0.015172752999887962,0.013897222594856914,4.957771299488228e-05,0.0008859697113656589,-0.0006773164486948819,-0.0007340196725460726
51.0,0.011444960999824616,0.014274761484307195,1.6028954440765533e-05,0.0006923152507207868,-0.0006671765599012761,-0.0007334522575543857
52.0,0.009036309000066467,0.017500394132676726,3.8999872545248684e-05,0.0006522127424975131,-0.0006609205853703046,-0.0007333074149691109
53.0,0.009815273999947749,0.01876165061849979,4.466711306726047e-05,0.0005612647888786948,-0.0006545189385964342,-0.0007329246205341163
54.0,0.010846529999980703,0.02086530581789435,1.98038215178175e-05,0.00038714519283820665,-0.0006484311632259285,-0.0007324401373522198
55.0,0.01930429499998354,0.024315211174282706,3.400520914966144e-05,0.00021747304568174174,-0.0006409575982155543,-0.0007320578385395128
56.0,0.011029841000208762,0.02888192000577289,7.109716370432153e-05,0.00018168426344702281,-0.0006385589050998536,-0.0007316827664894132
57.0,0.018019766999941567,0.031000316446287434,9.040216815301031e-05,5.4106574419065156e-05,-0.0006352849970049822,-0.0007304016121651046
58.0,0.010550980000061827,0.031000316446287434,8.411830779442607e-05,-8.32764189648255e-05,-0.0006347141196204148,-0.00072944778069696
59.0,0.013278532999947856,0.038821375345593725,7.183189869782922e-05,-0.00023014333069420063,-0.0006358199082977567,-0.0007283308129710119
60.0,0.008432433000052697,0.04282634193733277,4.868315185346347e-05,-0.0003803719755238245,-0.0006377605765142446,-0.0007277250952979759
61.0,0.008583391999991363,0.04282634193733277,6.284196321282973e-05,-0.0004261408482657101,-0.0006410254582859767,-0.0007273072287218226
62.0,0.0138627250000809,0.048854728754612206,8.931700115903524e-06,-0.0006966058635729903,-0.0006469329316767854,-0.000726436067867338
63.0,0.016058845000088695,0.05548708641915782,0.00010957650676855627,-0.0006563784224441946,-0.000658119617266057,-0.0007262926350795894
64.0,0.01073594000013145,0.05930311093929018,2.7337344820560437e-05,-0.0009434779145756266,-0.0006651664566267989,-0.0007251162282774982
65.0,0.009998937000091246,0.06554328075499222,9.729994355187166e-05,-0.0008848427016760886,-0.0006746002328556181,-0.0007248428838888876
66.0,0.008744500999910088,0.06751373483711402,3.881059159202701e-05,-0.0011153327425547264,-0.0006823377407451877,-0.000723992044435207
