tick,tick_dt,input_force,output_position,output_ang_vel,output_speed,output_angle
111.0,0.009103687000020955,-2.2503133860310827e-05,1.509254988120673e-07,-8.505477750157461e-07,-9.388284185047685e-07,4.437405185772143e-07
112.0,0.009194853999986208,-2.2503133860310827e-05,1.42293108572878e-07,-1.8527495373861954e-06,-1.311726545737163e-06,4.359198559659314e-07
113.0,0.010907129000003124,-3.7356552882626853e-05,1.2798593792579428e-07,2.364891412462674e-07,-4.913425931664446e-07,4.15711677756964e-07
114.0,0.00968120500002101,-3.7356552882626853e-05,1.23229149556108e-07,2.8047784669454097e-07,-1.387672055288959e-06,4.1800117761364805e-07
115.0,0.009988297000006696,-0.00010088412707530542,1.0936866892927216e-07,-2.9058905514524224e-06,-1.9911615187199916e-06,4.2080267364835546e-07
116.0,0.005449120000008634,-0.00010088412707530542,9.851859087436749e-08,-1.4956161027895578e-07,-7.297554744510856e-07,4.0496812732659996e-07
117.0,0.0095719089999875,-6.445458425165925e-05,9.153343788067899e-08,-4.4509615268663875e-06,3.0297372813234465e-07,4.035365372031182e-07
118.0,0.00990753799999311,-6.445458425165925e-05,9.453516160514978e-08,6.147401947124434e-06,-1.053218565177839e-06,3.594384667391821e-07
119.0,0.009802908000011712,-0.0002534482938161312,8.421055690680709e-08,-2.2548358097791748e-07,-8.601409708666893e-07,4.197008824659358e-07
120.0,0.0056185640000023795,-0.0002534482938161312,7.937779981296842e-08,2.312326604348934e-06,2.323920753074306e-07,4.1843398853526165e-07
121.0,0.01083601799999201,-0.00010360628534022997,8.189600452405523e-08,9.59918562906477e-07,3.6772238922272585e-06,4.434904012418471e-07
122.0,0.008852391999994325,-0.00010360628534022997,1.1444823188979581e-07,1.0868628148010266e-05,1.7771285731207603e-06,4.5198797664876644e-07
123.0,0.010582703000011406,-0.0002974836666303047,1.3325505577196687e-07,6.573480971448464e-07,-6.400101361726957e-07,5.670074403567231e-07
124.0,0.009226669000014454,-0.0002974836666303047,1.2734989408884724e-07,-5.371098022629751e-06,-3.7391061582563355e-06,5.730725736668679e-07
125.0,0.0096397050000121,-4.050504433460693e-05,9.130601375952762e-08,-3.2085487413527e-06,-2.444398978899751e-06,5.212967732025688e-07
126.0,0.004913897999983874,-4.050504433460693e-05,7.92944865059495e-08,5.8121957661771223e-08,-9.279328644889114e-07,5.05530291959585e-07
127.0,0.006880877000014607,-9.067515112136505e-05,7.290949460113008e-08,-4.705930029102558e-06,-1.0217429612145056e-06,5.059302220012558e-07
128.0,0.009187057999980652,-9.067515112136505e-05,6.352268275538044e-08,1.8408132930341634e-06,-2.7485530547101317e-06,4.6269656988003994e-07
129.0,0.010828185000008261,-0.00020413448509352914,3.37608417966413e-08,-5.221226432910333e-06,-3.799963334759403e-06,4.826292367674883e-07
130.0,0.00879361400001244,-0.00020413448509352914,3.4543101656706036e-10,-5.654524600763519e-06,-4.0122205207909545e-06,4.36715786909813e-07
131.0,0.009901261000010209,-3.3320020505163064e-05,-3.938061154938107e-08,-4.619196966457329e-06,-3.1455192845499093e-06,3.8072886300667483e-07
132.0,0.010726000000005342,-3.3320020505163064e-05,-7.31194513954802e-08,-2.496114603058821e-06,-2.6811662877080946e-06,3.311833563444288e-07
133.0,0.009008539999996401,-6.829663523513706e-05,-9.727284514494043e-08,-1.5001574006038552e-06,-2.044808647135333e-06,3.086970080981983e-07
134.0,0.004953231999991203,-6.829663523513706e-05,-1.0740125676978988e-07,-1.2689621848377902e-06,-1.8194418144515392e-06,3.0126638045650364e-07
135.0,0.010838019000004806,-7.10419837897107e-05,-1.2712040172421888e-07,-3.4737435697250345e-07,-1.1962979586646124e-06,2.8751334418694405e-07
136.0,0.009696297999994385,-7.10419837897107e-05,-1.3872006322821593e-07,5.755547442217107e-06,-2.621385015279923e-06,2.841450989041822e-07
137.0,0.0099168340000233,-0.00030339075811490306,-1.6471590327489546e-07,-4.1408382037637535e-06,-3.2849869939614303e-06,3.4122190746790795e-07
138.0,0.005372434999998177,-0.00030339075811490306,-1.8236428237579265e-07,-8.298483470179616e-09,-1.253189702756702e-06,3.1897552337267795e-07
139.0,0.00970292699997799,-9.344555739221169e-05,-1.9452389057876504e-07,1.2919469793615633e-06,3.1586853302544587e-06,3.1889500379335627e-07
140.0,0.009874760000002425,-9.344555739221169e-05,-1.6333263102697385e-07,1.1489542816230871e-05,1.2328768265446327e-06,3.316526701472798e-07
141.0,0.010095019999994292,-0.00033687765380987817,-1.5088671480547628e-07,1.7539300456809318e-06,-5.53147139647248e-07,4.476398346679212e-07
142.0,0.010396778000000495,-0.00033687765380987817,-1.56637662817724e-07,-6.175171084820484e-07,-1.6598783485260494e-06,4.658750559803966e-07
143.0,0.00997387099999969,-0.00010646715943383611,-1.7319307534161534e-07,1.7795907477267046e-07,-1.3874314072524384e-06,4.597160200001038e-07
144.0,0.00885872499998186,-0.00010646715943383611,-1.8548394863480253e-07,3.9969512865561946e-06,2.404205592235028e-07,4.612925105047661e-07
145.0,0.010884480999976631,-0.00017240245567299916,-1.8286709562593055e-07,-1.7421421200051835e-06,-2.2116767805433932e-06,5.047972508411192e-07
146.0,0.009636946000000535,-0.00017240245567299916,-2.0418090532948226e-07,-4.081502027485685e-06,-3.960255769156259e-06,4.880083213063028e-07
147.0,0.009903835000017125,-9.482745554833742e-05,-2.4340262502507177e-07,-2.1175922851101945e-06,-2.6081175522238913e-06,4.4758579867384923e-07
148.0,0.005020397999999204,-9.482745554833742e-05,-2.564964131680194e-07,2.1512027673232377e-06,-5.861701690562636e-07,4.3695464260086824e-07
149.0,0.010679314999975986,-0.00015007437470765714,-2.627563090469604e-07,6.232200103808764e-06,1.338313512558049e-06,4.5992801458193314e-07
150.0,0.008729947999995602,-0.00015007437470765714,-2.510729016746372e-07,8.365761203777176e-06,-1.3002361279583103e-06,5.143347974137508e-07
151.0,0.006920988000018724,-0.0003648632349888167,-2.600718203134275e-07,4.3543871880573855e-08,-1.651647596521578e-06,5.722341303161148e-07
152.0,0.009234595000009449,-0.0003648632349888167,-2.753241169500433e-07,-6.636395328204293e-06,-4.624690706061818e-06,5.726362403376643e-07
153.0,0.010757389000019657,-5.8998446150903785e-05,-3.2507371387992584e-07,-2.552071614871647e-06,-4.967421605523376e-06,5.012459542342576e-07
154.0,0.008671614999997246,-5.8998446150903785e-05,-3.6814928158569275e-07,-2.1009351167555703e-06,-2.9820134936817033e-06,4.791153717376694e-07
155.0,0.009985650000004398,-0.00012511250513231914,-3.9792662462888856e-07,-4.299909758625213e-06,-3.668164246922292e-06,4.581361689890299e-07
156.0,0.010468241000012313,-0.00012511250513231914,-4.363258519932998e-07,-3.3942276910230853e-06,-3.78950254899653e-06,4.131236773574364e-07
157.0,0.009842242000019041,-0.00011299883589086238,-4.7362305314021263e-07,-2.2913241970715904e-07,-2.0107234724232786e-06,3.7971686701922133e-07
158.0,0.004901379999978417,-0.00011299883589086238,-4.834783729534352e-07,5.271969698552758e-06,3.027134097137476e-07,3.78593801959922e-07
159.0,0.010219538000001194,-0.00021438591460061656,-4.803847817597557e-07,9.950249243711725e-06,1.9050481692511553e-06,4.324708966291367e-07
160.0,0.010856461999992462,-0.00021438591460061656,-4.597026987021253e-07,8.03777875099929e-06,-2.7469192154966657e-06,5.404953994339468e-07
161.0,0.008095838000002686,-0.0004228639746002438,-4.819413116698808e-07,-2.350446607888457e-06,-3.10535414646839e-06,6.05567954081901e-07
