tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
87.0,0.004949148000036985,0.00010389996482750216,2.131581349757677e-06,-8.015753378064877e-08,1.4417191752975344e-06,-1.9681879372382678e-08
88.0,0.005552649000037491,-3.204371571634327e-05,-2.6541521857670354e-06,-6.832161073041825e-08,1.0523711263962525e-06,-1.1676518835331948e-08
89.0,0.010263759000054051,0.00012246349685352643,6.754633082967611e-06,-9.556318911459779e-08,2.8932180086229578e-06,-8.752352153853907e-10
90.0,0.009643556000014541,0.00012246349685352643,1.0859723916385152e-05,-3.042450671944877e-08,4.6495003801707544e-06,2.7025674671020654e-08
91.0,0.009781332999978076,-0.00014097164209586478,1.2336817699619236e-06,7.579806919454047e-08,5.210473555823459e-07,7.250398617299547e-08
92.0,0.006296166999959496,-0.00014097164209586478,-7.636637536689267e-07,8.356553564302635e-08,-3.636560177113389e-07,7.57845873386292e-08
93.0,0.011313721999954396,3.39133773078001e-06,-5.173404891122223e-06,7.492565623257446e-08,2.0693709283913178e-08,7.167028425063262e-08
94.0,0.007571129999973891,3.39133773078001e-06,4.254913727956955e-06,3.575713525938733e-08,1.0296858225457384e-08,7.18269590138028e-08
95.0,0.01059266699996897,-0.00012301760415340857,-4.954873156367581e-06,8.082801949323192e-08,-2.209698626268129e-06,7.193603020413095e-08
96.0,0.01101544499999818,-0.00012301760415340857,-5.1738154124023025e-06,2.6247886757297444e-08,-4.834245365774848e-06,4.759521651990284e-08
97.0,0.009692944000107673,-2.5680876511418498e-05,-3.274316004065796e-06,-2.390161630201206e-08,-1.5218674284202922e-06,7.371469066672055e-10
98.0,0.009083500000087952,-2.5680876511418498e-05,-3.738389751796994e-06,-5.36438657252317e-08,-1.6878000052534353e-06,-1.308673587952237e-08
99.0,0.010090999999988526,5.2748562961417856e-05,-1.514169210764305e-06,-9.136795671057227e-08,-5.713556514600446e-07,-3.011832573251542e-08
100.0,0.010015759999987495,5.2748562961417856e-05,1.5105655109960032e-06,-1.0653351212495803e-07,4.641388968578253e-07,-3.5840886812175735e-08
